fy,abbr,state,County,County 2,"County, State",Local Board,type,count,aveWage,MedianWageByCounty
FY 2023,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Active Apprentices,2022,22.09639263,21.27
FY 2023,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Active Apprentices,2021,20.27840761,18.33
FY 2023,DC,District of Columbia,* State Total,* State Total,"* State Total, DC",State,Active Apprentices,1793,20.97447079,17.88
FY 2023,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Active Apprentices,1576,17.72582447,17
FY 2023,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Active Apprentices,1404,18.49375473,17
FY 2023,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Active Apprentices,1289,19.09901665,18.25
FY 2023,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Active Apprentices,1229,18.56464467,17.59
FY 2023,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Active Apprentices,1161,21.71963383,19
FY 2023,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Active Apprentices,998,13.69887776,9.5
FY 2023,Not Specified,Not Specified,* State Total,* State Total,"* State Total, Not Specified",State,Active Apprentices,888,19.19496723,15
FY 2023,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Active Apprentices,617,13.39908602,13
FY 2023,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Active Apprentices,420,20.15090692,18
FY 2023,AS,American Samoa,* State Total,* State Total,"* State Total, AS",State,Active Apprentices,133,7.25,7.25
FY 2023,VI,US Virgin Islands,* State Total,* State Total,"* State Total, VI",State,Active Apprentices,36,14.66666667,15
FY 2023,MP,Northern Mariana Islands,* State Total,* State Total,"* State Total, MP",State,Active Apprentices,32,11.455625,10.25
FY 2023,USMAP,United Services Military Apprenticeship Program,* State Total,* State Total,"* State Total, USMAP",State,New Apprentices,64672,-,-
FY 2023,CA,California,* State Total,* State Total,"* State Total, CA",State,New Apprentices,32808,22.10944724,20.91
FY 2023,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,New Apprentices,12022,20.46639757,19.79
FY 2023,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,New Apprentices,10867,17.93886686,17.9
FY 2023,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,New Apprentices,9746,19.73116388,18.84
FY 2023,WA,Washington,* State Total,* State Total,"* State Total, WA",State,New Apprentices,8224,23.65551682,21.3
FY 2023,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,New Apprentices,7226,18.23697486,17
FY 2023,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,New Apprentices,7091,20.65835522,18.11
FY 2023,NY,New York,* State Total,* State Total,"* State Total, NY",State,New Apprentices,6167,21.81466667,19
FY 2023,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,New Apprentices,5803,19.30476917,16.94
FY 2023,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,New Apprentices,5771,20.71856954,21.03
FY 2023,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,New Apprentices,5597,16.76297317,15.5
FY 2023,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,New Apprentices,5447,21.39757993,21.01
FY 2023,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,New Apprentices,4734,26.01565493,26.16
FY 2023,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,New Apprentices,4458,23.36351432,21.32
FY 2023,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,New Apprentices,4300,18.98479327,16.35
FY 2023,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,New Apprentices,4150,19.08695187,18.21
FY 2023,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,New Apprentices,3964,21.12314671,19.38
FY 2023,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,New Apprentices,3858,18.19130056,15.75
FY 2023,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,New Apprentices,3841,24.01212298,23.17
FY 2023,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,New Apprentices,3673,22.62223684,0.12
FY 2023,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,New Apprentices,3639,16.42904496,16.66
FY 2023,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,New Apprentices,3426,18.40486892,17.66
FY 2023,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,New Apprentices,3293,17.14795899,15
FY 2023,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,New Apprentices,2984,23.14068029,21.6
FY 2023,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,New Apprentices,2843,20.47081623,20.31
FY 2023,UT,Utah,* State Total,* State Total,"* State Total, UT",State,New Apprentices,2290,20.87138428,20.5
FY 2023,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,New Apprentices,2180,17.41298829,16.6
FY 2023,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,New Apprentices,2157,17.54620555,15.47
FY 2023,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,New Apprentices,1834,17.97245502,16.13
FY 2023,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,New Apprentices,1710,19.03515205,16.12
FY 2023,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,New Apprentices,1679,18.7206075,17.26
FY 2023,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,New Apprentices,1531,18.968299,19.2
FY 2023,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,New Apprentices,1526,21.61860419,20.8
FY 2023,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,New Apprentices,1140,18.99193548,18
FY 2023,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,New Apprentices,1041,20.34004061,19.26
FY 2023,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,New Apprentices,985,21.98688708,20.17
FY 2023,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,New Apprentices,970,22.42358178,22
FY 2023,MT,Montana,* State Total,* State Total,"* State Total, MT",State,New Apprentices,949,21.07164384,20
FY 2023,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,New Apprentices,855,20.24847584,19.65
FY 2023,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,New Apprentices,793,18.48504854,18
FY 2023,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,New Apprentices,791,13.94524652,9.5
FY 2023,ME,Maine,* State Total,* State Total,"* State Total, ME",State,New Apprentices,753,19.82927864,18
FY 2023,DC,District of Columbia,* State Total,* State Total,"* State Total, DC",State,New Apprentices,722,24.16485584,21
FY 2023,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,New Apprentices,619,18.85413081,18
FY 2023,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,New Apprentices,489,22.5600409,20
FY 2023,Not Specified,Not Specified,* State Total,* State Total,"* State Total, Not Specified",State,New Apprentices,356,19.03,18.74
FY 2023,GU,Guam,* State Total,* State Total,"* State Total, GU",State,New Apprentices,292,12.48558219,12
FY 2023,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,New Apprentices,205,22.01876847,20
FY 2023,MP,Northern Mariana Islands,* State Total,* State Total,"* State Total, MP",State,New Apprentices,35,11.266,10.25
FY 2023,VI,US Virgin Islands,* State Total,* State Total,"* State Total, VI",State,New Apprentices,28,14.625,15
FY 2023,USMAP,United Services Military Apprenticeship Program,* State Total,* State Total,"* State Total, USMAP",State,Completer Apprentices,19777,-,-
FY 2023,CA,California,* State Total,* State Total,"* State Total, CA",State,Completer Apprentices,14911,39.86245342,38.27
FY 2023,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Completer Apprentices,3854,35.67682243,34.34
FY 2023,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Completer Apprentices,3658,31.36323759,30.29
FY 2023,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Completer Apprentices,3611,33.23877467,33
FY 2023,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Completer Apprentices,3337,22.53593596,21
FY 2023,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Completer Apprentices,3327,28.97856725,27.4
FY 2023,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Completer Apprentices,3085,36.87188422,36.69
FY 2023,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Completer Apprentices,2793,30.65340876,31.25
FY 2023,NY,New York,* State Total,* State Total,"* State Total, NY",State,Completer Apprentices,2537,32.4114135,35
FY 2023,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Completer Apprentices,2449,34.08157477,36.8
FY 2023,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Completer Apprentices,2258,46.52500902,45.8
FY 2023,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Completer Apprentices,2129,22.7736302,22
FY 2023,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Completer Apprentices,2089,37.88082765,36.75
FY 2023,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Completer Apprentices,1927,29.98056039,30
FY 2023,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Completer Apprentices,1868,36.79160542,36.25
FY 2023,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Completer Apprentices,1788,40.13096386,39.29
FY 2023,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,Completer Apprentices,1643,26.93051047,22
FY 2023,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Completer Apprentices,1339,28.607991,28.85
FY 2023,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Completer Apprentices,1188,28.01890306,27.13
FY 2023,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Completer Apprentices,1107,38.96365699,37.8
FY 2023,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,Completer Apprentices,1014,33.07293086,32.13
FY 2023,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Completer Apprentices,1009,32.50496933,30
FY 2023,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Completer Apprentices,941,39.78034483,40
FY 2023,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Completer Apprentices,881,23.63623656,22
FY 2023,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Completer Apprentices,845,31.68895735,31.68
FY 2023,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Completer Apprentices,844,26.1946398,28.97
FY 2023,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Completer Apprentices,710,26.40756637,21.5
FY 2023,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Completer Apprentices,597,25.62940068,22.42
FY 2023,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Completer Apprentices,585,27.37964602,24.5
FY 2023,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Completer Apprentices,578,28.1270483,28
FY 2023,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Completer Apprentices,569,26.21452381,27.96
FY 2023,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Completer Apprentices,554,30.13836777,28.35
FY 2023,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Completer Apprentices,486,25.29890041,25.65
FY 2023,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Completer Apprentices,411,31.68858357,31
FY 2023,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Completer Apprentices,357,19.95742297,12.1
FY 2023,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Completer Apprentices,331,34.66427692,36
FY 2023,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Completer Apprentices,304,33.2884,31.61
FY 2023,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Completer Apprentices,295,34.87688136,35.76
FY 2023,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Completer Apprentices,293,32.22723549,31.05
FY 2023,DC,District of Columbia,* State Total,* State Total,"* State Total, DC",State,Completer Apprentices,292,24.86715789,21.985
FY 2023,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Completer Apprentices,245,28.65430493,26
FY 2023,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Completer Apprentices,224,25.66965909,23.365
FY 2023,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Completer Apprentices,199,27.41411765,26.5
FY 2023,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Completer Apprentices,163,29.41108844,25
FY 2023,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Completer Apprentices,147,36.79517007,35
FY 2023,Not Specified,Not Specified,* State Total,* State Total,"* State Total, Not Specified",State,Completer Apprentices,141,30.98905983,30.6
FY 2023,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Completer Apprentices,83,34.40345679,32.08
FY 2023,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Completer Apprentices,66,21.86939394,21.69
FY 2023,VI,US Virgin Islands,* State Total,* State Total,"* State Total, VI",State,Completer Apprentices,8,20,19.25
FY 2022,USMAP,United Services Military Apprenticeship Program,* State Total,* State Total,"* State Total, USMAP",State,Active Apprentices,109864,,
FY 2022,CA,California,* State Total,* State Total,"* State Total, CA",State,Active Apprentices,75719,20.68001397,18.94
FY 2022,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Active Apprentices,23719,17.98764859,16.17
FY 2022,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Active Apprentices,22524,16.51678637,16
FY 2022,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Active Apprentices,18355,23.58467635,22.16
FY 2022,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Active Apprentices,17973,18.75785193,17
FY 2022,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Active Apprentices,17256,18.59560874,18.58
FY 2022,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Active Apprentices,16706,18.85492041,17.72
FY 2022,NY,New York,* State Total,* State Total,"* State Total, NY",State,Active Apprentices,15499,19.71725586,16.55
FY 2022,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Active Apprentices,12247,14.85326459,14.25
FY 2022,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Active Apprentices,12066,19.28856494,18
FY 2022,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Active Apprentices,11553,14.96927718,14.38
FY 2022,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Active Apprentices,11205,23.33185461,22.57
FY 2022,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Active Apprentices,10596,24.04190058,23.17
FY 2022,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Active Apprentices,9564,20.29185892,20.04
FY 2022,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Active Apprentices,8794,18.7068953,16.25
FY 2022,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Active Apprentices,8306,20.5972927,18.91
FY 2022,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Active Apprentices,7512,16.63133487,15.86
FY 2022,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Active Apprentices,7386,13.98659738,12
FY 2022,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Active Apprentices,7226,16.33173955,15.29
FY 2022,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Active Apprentices,6560,18.63096661,18.36
FY 2022,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,Active Apprentices,5914,22.00696,17.55
FY 2022,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,Active Apprentices,5616,19.59379636,17.97
FY 2022,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Active Apprentices,5608,14.99529973,13.94
FY 2022,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Active Apprentices,5582,18.26474687,17.15
FY 2022,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Active Apprentices,5194,20.99851638,19.73
FY 2022,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Active Apprentices,4225,20.94308683,20
FY 2022,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,Active Apprentices,4033,14.23302669,10.7
FY 2022,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Active Apprentices,3913,16.21711568,14.13
FY 2022,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Active Apprentices,2912,17.16193322,15.47
FY 2022,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Active Apprentices,2850,17.72741251,18.17
FY 2022,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,Active Apprentices,2803,16.91922965,15.73
FY 2022,DC,District of Columbia,* State Total,* State Total,"* State Total, DC",State,Active Apprentices,2719,18.08959821,17
FY 2022,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Active Apprentices,2713,16.02543617,15.06
FY 2022,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,Active Apprentices,2365,17.74287949,15.84
FY 2022,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Active Apprentices,2193,18.02561574,17
FY 2022,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Active Apprentices,2145,17.86001577,16
FY 2022,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Active Apprentices,1944,21.39881435,20.82
FY 2022,MT,Montana,* State Total,* State Total,"* State Total, MT",State,Active Apprentices,1888,18.23554555,16.96
FY 2022,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,Active Apprentices,1678,19.11177039,17.44
FY 2022,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Active Apprentices,1557,16.92594223,16
FY 2022,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,Active Apprentices,1065,21.50338725,18.32
FY 2022,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Active Apprentices,1064,18.13217617,17
FY 2022,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Active Apprentices,976,17.9704937,16.63
FY 2022,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Active Apprentices,915,18.09175615,17.01
FY 2022,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Active Apprentices,775,14.55487742,9.42
FY 2022,Not Specified,Not Specified,* State Total,* State Total,"* State Total, Not Specified",State,Active Apprentices,769,19.23518405,15
FY 2022,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Active Apprentices,570,13.72812375,13.44
FY 2022,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Active Apprentices,391,19.05253197,16.98
FY 2022,AS,American Samoa,* State Total,* State Total,"* State Total, AS",State,Active Apprentices,138,7.318623188,7.25
FY 2022,VI,US Virgin Islands,* State Total,* State Total,"* State Total, VI",State,Active Apprentices,23,16.2826087,15
FY 2022,MP,Northern Mariana Islands,* State Total,* State Total,"* State Total, MP",State,Active Apprentices,2,9,9
FY 2022,USMAP,United Services Military Apprenticeship Program,* State Total,* State Total,"* State Total, USMAP",State,New Apprentices,57224,-,-
FY 2022,CA,California,* State Total,* State Total,"* State Total, CA",State,New Apprentices,30402,20.83832534,18.84
FY 2022,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,New Apprentices,11171,19.52836414,18.255
FY 2022,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,New Apprentices,10689,17.33869192,16
FY 2022,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,New Apprentices,9786,19.02649896,17.2
FY 2022,WA,Washington,* State Total,* State Total,"* State Total, WA",State,New Apprentices,8499,24.66776282,23
FY 2022,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,New Apprentices,6633,19.7804551,17.54
FY 2022,NY,New York,* State Total,* State Total,"* State Total, NY",State,New Apprentices,5725,19.99755835,17
FY 2022,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,New Apprentices,5298,18.5233842,18
FY 2022,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,New Apprentices,5278,15.7667399,14.77
FY 2022,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,New Apprentices,5129,18.82731066,16
FY 2022,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,New Apprentices,5018,19.90882848,20
FY 2022,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,New Apprentices,4675,16.0593529,15.99
FY 2022,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,New Apprentices,4421,16.81685694,16
FY 2022,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,New Apprentices,4118,24.08322004,23.17
FY 2022,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,New Apprentices,3998,16.9560961,16
FY 2022,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,New Apprentices,3856,24.4428103,24.41
FY 2022,NE,Nebraska,* State Total,* State Total,"* State Total, NE",State,New Apprentices,3662,12.38639901,10.7
FY 2022,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,New Apprentices,3606,21.99119021,20
FY 2022,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,New Apprentices,3470,20.53885714,0.12
FY 2022,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,New Apprentices,3190,18.48865354,17.6
FY 2022,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,New Apprentices,3188,20.39864698,18.665
FY 2022,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,New Apprentices,2893,15.95325327,15
FY 2022,MS,Mississippi,* State Total,* State Total,"* State Total, MS",State,New Apprentices,2764,17.32817575,15.75
FY 2022,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,New Apprentices,2390,20.4013572,20.26
FY 2022,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,New Apprentices,2183,22.27141548,21.14
FY 2022,UT,Utah,* State Total,* State Total,"* State Total, UT",State,New Apprentices,1860,21.02388798,20.27
FY 2022,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,New Apprentices,1859,17.92742484,16
FY 2022,DC,District of Columbia,* State Total,* State Total,"* State Total, DC",State,New Apprentices,1655,19.61670581,17.5
FY 2022,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,New Apprentices,1499,16.16825581,16
FY 2022,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,New Apprentices,1465,17.44814316,15.47
FY 2022,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,New Apprentices,1429,16.61683731,14.71
FY 2022,NM,New Mexico,* State Total,* State Total,"* State Total, NM",State,New Apprentices,1393,18.7416224,16.3
FY 2022,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,New Apprentices,1351,18.20280934,18
FY 2022,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,New Apprentices,1282,20.54053822,20.5
FY 2022,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,New Apprentices,1072,18.08432099,16.6
FY 2022,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,New Apprentices,1017,22.03279644,21
FY 2022,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,New Apprentices,943,18.7644469,18
FY 2022,MT,Montana,* State Total,* State Total,"* State Total, MT",State,New Apprentices,866,19.98353349,18.5
FY 2022,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,New Apprentices,660,18.04162975,17
FY 2022,OK,Oklahoma,* State Total,* State Total,"* State Total, OK",State,New Apprentices,626,21.405856,19.6
FY 2022,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,New Apprentices,611,18.95100352,18
FY 2022,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,New Apprentices,570,18.80264706,18
FY 2022,ND,North Dakota,* State Total,* State Total,"* State Total, ND",State,New Apprentices,463,23.01406048,19
FY 2022,ME,Maine,* State Total,* State Total,"* State Total, ME",State,New Apprentices,455,19.24666667,17.75
FY 2022,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,New Apprentices,427,17.55367681,14.68
FY 2022,Not Specified,Not Specified,* State Total,* State Total,"* State Total, Not Specified",State,New Apprentices,299,19.11836364,15
FY 2022,GU,Guam,* State Total,* State Total,"* State Total, GU",State,New Apprentices,232,12.2712037,12
FY 2022,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,New Apprentices,160,19.6163522,18
FY 2022,AS,American Samoa,* State Total,* State Total,"* State Total, AS",State,New Apprentices,133,7.25,7.25
FY 2022,VI,US Virgin Islands,* State Total,* State Total,"* State Total, VI",State,New Apprentices,15,14.56666667,15
FY 2022,USMAP,United Services Military Apprenticeship Program,* State Total,* State Total,"* State Total, USMAP",State,Completer Apprentices,18588,-,-
FY 2022,CA,California,* State Total,* State Total,"* State Total, CA",State,Completer Apprentices,13720,38.46365777,35.9
FY 2022,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Completer Apprentices,4113,34.97444527,32.2
FY 2022,OH,Ohio,* State Total,* State Total,"* State Total, OH",State,Completer Apprentices,3486,32.7069606,32.39
FY 2022,MO,Missouri,* State Total,* State Total,"* State Total, MO",State,Completer Apprentices,3218,31.65482677,29.69
FY 2022,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Completer Apprentices,3067,28.95018366,26.89
FY 2022,NY,New York,* State Total,* State Total,"* State Total, NY",State,Completer Apprentices,3004,22.8462877,19.8
FY 2022,MI,Michigan,* State Total,* State Total,"* State Total, MI",State,Completer Apprentices,3002,29.48877175,29.68
FY 2022,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Completer Apprentices,2942,35.48718921,36.23
FY 2022,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Completer Apprentices,2254,32.77755139,34.72
FY 2022,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Completer Apprentices,2244,45.95260929,45.8
FY 2022,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Completer Apprentices,1990,22.41446752,22
FY 2022,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Completer Apprentices,1932,24.43024242,22
FY 2022,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Completer Apprentices,1747,29.29971411,28
FY 2022,MN,Minnesota,* State Total,* State Total,"* State Total, MN",State,Completer Apprentices,1735,36.10632219,35.13
FY 2022,NJ,New Jersey,* State Total,* State Total,"* State Total, NJ",State,Completer Apprentices,1705,39.65497114,38.24
FY 2022,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Completer Apprentices,1685,27.04012255,28.09
FY 2022,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Completer Apprentices,1626,41.71656687,43.54
FY 2022,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,Completer Apprentices,1568,27.6825614,22.5
FY 2022,DC,District of Columbia,* State Total,* State Total,"* State Total, DC",State,Completer Apprentices,1281,23.2293528,20
FY 2022,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Completer Apprentices,1195,26.6080111,25.53
FY 2022,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,Completer Apprentices,1051,32.47370629,30.31
FY 2022,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Completer Apprentices,946,31.85334061,30.44
FY 2022,NV,Nevada,* State Total,* State Total,"* State Total, NV",State,Completer Apprentices,941,39.00560345,42.22
FY 2022,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Completer Apprentices,792,32.21220382,33
FY 2022,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Completer Apprentices,765,41.90309804,44.21
FY 2022,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Completer Apprentices,735,23.17521429,20.665
FY 2022,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Completer Apprentices,682,25.79409023,28.97
FY 2022,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Completer Apprentices,613,25.08422339,24.11
FY 2022,NH,New Hampshire,* State Total,* State Total,"* State Total, NH",State,Completer Apprentices,608,24.71447279,26.77
