fy,abbr,state,County,County 2,"County, State",type,count,avgWage,MedianWageByCounty
FY 2020,AL,Alabama,Jefferson County,Jefferson,"Jefferson, AL",Active Apprentices,943.0,14.20,12.68
FY 2020,AL,Alabama,Colbert County,Colbert,"Colbert, AL",Active Apprentices,416.0,14.45,12.24
FY 2020,AL,Alabama,Shelby County,Shelby,"Shelby, AL",Active Apprentices,360.0,17.83,17.53
FY 2020,AL,Alabama,Mobile County,Mobile,"Mobile, AL",Active Apprentices,340.0,15.25,14.48
FY 2020,AL,Alabama,Madison County,Madison,"Madison, AL",Active Apprentices,289.0,14.89,14.50
FY 2020,AL,Alabama,Montgomery County,Montgomery,"Montgomery, AL",Active Apprentices,145.0,13.70,12.50
FY 2020,AL,Alabama,Lauderdale County,Lauderdale,"Lauderdale, AL",Active Apprentices,129.0,17.28,17.27
FY 2020,AL,Alabama,Tuscaloosa County,Tuscaloosa,"Tuscaloosa, AL",Active Apprentices,120.0,16.36,17.34
FY 2020,AL,Alabama,Baldwin County,Baldwin,"Baldwin, AL",Active Apprentices,76.0,16.04,15.00
FY 2020,AL,Alabama,Talladega County,Talladega,"Talladega, AL",Active Apprentices,69.0,21.65,16.00
FY 2020,AL,Alabama,Lee County,Lee,"Lee, AL",Active Apprentices,30.0,12.22,12.00
FY 2020,AL,Alabama,Sumter County,Sumter,"Sumter, AL",Active Apprentices,25.0,11.58,11.58
FY 2020,AL,Alabama,Dallas County,Dallas,"Dallas, AL",Active Apprentices,14.0,25.00,25.00
FY 2020,AL,Alabama,Limestone County,Limestone,"Limestone, AL",Active Apprentices,13.0,18.46,19.00
FY 2020,AL,Alabama,DeKalb County,DeKalb,"DeKalb, AL",Active Apprentices,13.0,13.98,15.00
FY 2020,AL,Alabama,Morgan County,Morgan,"Morgan, AL",Active Apprentices,10.0,16.33,16.00
FY 2020,AL,Alabama,Calhoun County,Calhoun,"Calhoun, AL",Active Apprentices,0.0,19.68,19.13
FY 2020,AL,Alabama,Pickens County,Pickens,"Pickens, AL",Active Apprentices,0.0,,0.12
FY 2020,AL,Alabama,Covington County,Covington,"Covington, AL",Active Apprentices,0.0,13.50,13.50
FY 2020,AL,Alabama,Bibb County,Bibb,"Bibb, AL",Active Apprentices,0.0,12.00,12.00
FY 2020,AL,Alabama,Greene County,Greene,"Greene, AL",Active Apprentices,0.0,8.00,8.00
FY 2020,AL,Alabama,Cullman County,Cullman,"Cullman, AL",Active Apprentices,0.0,19.00,19.00
FY 2021,AL,Alabama,Jefferson County,Jefferson,"Jefferson, AL",Active Apprentices,716.0,15.37,14.86
FY 2021,AL,Alabama,Colbert County,Colbert,"Colbert, AL",Active Apprentices,440.0,14.45,14.00
FY 2021,AL,Alabama,Mobile County,Mobile,"Mobile, AL",Active Apprentices,294.0,15.04,14.48
FY 2021,AL,Alabama,Madison County,Madison,"Madison, AL",Active Apprentices,247.0,15.05,15.00
FY 2021,AL,Alabama,Shelby County,Shelby,"Shelby, AL",Active Apprentices,200.0,17.97,17.53
FY 2021,AL,Alabama,Montgomery County,Montgomery,"Montgomery, AL",Active Apprentices,180.0,13.61,12.00
FY 2021,AL,Alabama,Baldwin County,Baldwin,"Baldwin, AL",Active Apprentices,160.0,13.77,13.50
FY 2021,AL,Alabama,Tuscaloosa County,Tuscaloosa,"Tuscaloosa, AL",Active Apprentices,104.0,16.38,17.34
FY 2021,AL,Alabama,Lauderdale County,Lauderdale,"Lauderdale, AL",Active Apprentices,100.0,17.28,16.80
FY 2021,AL,Alabama,Talladega County,Talladega,"Talladega, AL",Active Apprentices,73.0,21.65,16.00
FY 2021,AL,Alabama,Lee County,Lee,"Lee, AL",Active Apprentices,30.0,12.40,12.00
FY 2021,AL,Alabama,Sumter County,Sumter,"Sumter, AL",Active Apprentices,26.0,11.52,11.50
FY 2021,AL,Alabama,Limestone County,Limestone,"Limestone, AL",Active Apprentices,23.0,18.22,17.24
FY 2021,AL,Alabama,Morgan County,Morgan,"Morgan, AL",Active Apprentices,13.0,19.02,18.00
FY 2021,AL,Alabama,Conecuh County,Conecuh,"Conecuh, AL",Active Apprentices,10.0,12.61,12.75
FY 2021,AL,Alabama,Pickens County,Pickens,"Pickens, AL",Active Apprentices,0.0,,0.12
FY 2021,AL,Alabama,DeKalb County,DeKalb,"DeKalb, AL",Active Apprentices,0.0,14.47,15.00
FY 2021,AL,Alabama,Marengo County,Marengo,"Marengo, AL",Active Apprentices,0.0,10.10,9.68
FY 2021,AL,Alabama,Cullman County,Cullman,"Cullman, AL",Active Apprentices,0.0,16.44,16.62
FY 2021,AL,Alabama,Marshall County,Marshall,"Marshall, AL",Active Apprentices,0.0,17.13,18.95
FY 2021,AL,Alabama,Covington County,Covington,"Covington, AL",Active Apprentices,0.0,13.19,13.50
FY 2021,AL,Alabama,Calhoun County,Calhoun,"Calhoun, AL",Active Apprentices,0.0,21.52,21.52
FY 2021,AL,Alabama,Russell County,Russell,"Russell, AL",Active Apprentices,0.0,12.00,12.00
FY 2021,AL,Alabama,Houston County,Houston,"Houston, AL",Active Apprentices,0.0,15.00,15.00
FY 2021,AL,Alabama,Bibb County,Bibb,"Bibb, AL",Active Apprentices,0.0,12.00,12.00
FY 2021,AL,Alabama,Walker County,Walker,"Walker, AL",Active Apprentices,0.0,12.00,12.00
FY 2021,AL,Alabama,Greene County,Greene,"Greene, AL",Active Apprentices,0.0,8.00,8.00
FY 2021,AL,Alabama,Dallas County,Dallas,"Dallas, AL",Active Apprentices,0.0,10.00,10.00
FY 2022,AL,Alabama,Jefferson County,Jefferson,"Jefferson, AL",Active Apprentices,681.0,15.62,15.50
FY 2022,AL,Alabama,Colbert County,Colbert,"Colbert, AL",Active Apprentices,462.0,15.57,14.25
FY 2022,AL,Alabama,Mobile County,Mobile,"Mobile, AL",Active Apprentices,334.0,15.03,14.66
FY 2022,AL,Alabama,Madison County,Madison,"Madison, AL",Active Apprentices,269.0,16.30,16.00
FY 2022,AL,Alabama,Shelby County,Shelby,"Shelby, AL",Active Apprentices,174.0,19.21,18.12
FY 2022,AL,Alabama,Montgomery County,Montgomery,"Montgomery, AL",Active Apprentices,174.0,13.92,12.79
FY 2022,AL,Alabama,Tuscaloosa County,Tuscaloosa,"Tuscaloosa, AL",Active Apprentices,129.0,17.20,17.70
FY 2022,AL,Alabama,Lauderdale County,Lauderdale,"Lauderdale, AL",Active Apprentices,109.0,16.40,16.15
FY 2022,AL,Alabama,Talladega County,Talladega,"Talladega, AL",Active Apprentices,61.0,21.65,16.00
FY 2022,AL,Alabama,Baldwin County,Baldwin,"Baldwin, AL",Active Apprentices,61.0,16.77,15.06
FY 2022,AL,Alabama,Limestone County,Limestone,"Limestone, AL",Active Apprentices,47.0,18.25,17.24
FY 2022,AL,Alabama,Lee County,Lee,"Lee, AL",Active Apprentices,46.0,12.67,12.50
FY 2022,AL,Alabama,Conecuh County,Conecuh,"Conecuh, AL",Active Apprentices,16.0,13.00,13.50
FY 2022,AL,Alabama,Tallapoosa County,Tallapoosa,"Tallapoosa, AL",Active Apprentices,14.0,14.71,15.00
FY 2022,AL,Alabama,Covington County,Covington,"Covington, AL",Active Apprentices,13.0,12.85,13.25
FY 2022,AL,Alabama,Morgan County,Morgan,"Morgan, AL",Active Apprentices,12.0,19.92,19.00
FY 2022,AL,Alabama,Sumter County,Sumter,"Sumter, AL",Active Apprentices,10.0,11.51,11.50
FY 2022,AL,Alabama,Marshall County,Marshall,"Marshall, AL",Active Apprentices,0.0,17.58,17.85
FY 2022,AL,Alabama,Pickens County,Pickens,"Pickens, AL",Active Apprentices,0.0,,0.12
FY 2022,AL,Alabama,Dallas County,Dallas,"Dallas, AL",Active Apprentices,0.0,12.00,12.00
FY 2022,AL,Alabama,Etowah County,Etowah,"Etowah, AL",Active Apprentices,0.0,16.25,16.50
FY 2022,AL,Alabama,Elmore County,Elmore,"Elmore, AL",Active Apprentices,0.0,13.88,12.25
FY 2022,AL,Alabama,Cullman County,Cullman,"Cullman, AL",Active Apprentices,0.0,16.81,16.62
FY 2022,AL,Alabama,DeKalb County,DeKalb,"DeKalb, AL",Active Apprentices,0.0,13.33,15.00
FY 2022,AL,Alabama,Dale County,Dale,"Dale, AL",Active Apprentices,0.0,25.63,25.50
FY 2022,AL,Alabama,Calhoun County,Calhoun,"Calhoun, AL",Active Apprentices,0.0,21.52,21.52
FY 2022,AL,Alabama,Russell County,Russell,"Russell, AL",Active Apprentices,0.0,12.00,12.00
FY 2022,AL,Alabama,Marengo County,Marengo,"Marengo, AL",Active Apprentices,0.0,10.31,10.31
FY 2022,AL,Alabama,Walker County,Walker,"Walker, AL",Active Apprentices,0.0,12.00,12.00
FY 2022,AL,Alabama,Franklin County,Franklin,"Franklin, AL",Active Apprentices,0.0,15.00,15.00
FY 2023,AL,Alabama,Jefferson County,Jefferson,"Jefferson, AL",Active Apprentices,714.0,16.61,16.56
FY 2023,AL,Alabama,Mobile County,Mobile,"Mobile, AL",Active Apprentices,460.0,15.84,15.23
FY 2023,AL,Alabama,Colbert County,Colbert,"Colbert, AL",Active Apprentices,397.0,16.80,15.15
FY 2023,AL,Alabama,Shelby County,Shelby,"Shelby, AL",Active Apprentices,395.0,21.00,20.90
FY 2023,AL,Alabama,Madison County,Madison,"Madison, AL",Active Apprentices,342.0,17.06,16.94
FY 2023,AL,Alabama,Montgomery County,Montgomery,"Montgomery, AL",Active Apprentices,190.0,14.32,13.94
FY 2023,AL,Alabama,Tuscaloosa County,Tuscaloosa,"Tuscaloosa, AL",Active Apprentices,131.0,17.48,18.06
FY 2023,AL,Alabama,Lauderdale County,Lauderdale,"Lauderdale, AL",Active Apprentices,125.0,17.19,16.80
FY 2023,AL,Alabama,Baldwin County,Baldwin,"Baldwin, AL",Active Apprentices,114.0,16.17,15.06
FY 2023,AL,Alabama,Limestone County,Limestone,"Limestone, AL",Active Apprentices,84.0,16.65,15.00
FY 2023,AL,Alabama,Talladega County,Talladega,"Talladega, AL",Active Apprentices,64.0,21.65,16.00
FY 2023,AL,Alabama,Lee County,Lee,"Lee, AL",Active Apprentices,62.0,13.33,13.00
FY 2023,AL,Alabama,Tallapoosa County,Tallapoosa,"Tallapoosa, AL",Active Apprentices,44.0,13.99,13.00
FY 2023,AL,Alabama,Pike County,Pike,"Pike, AL",Active Apprentices,43.0,14.49,15.00
FY 2023,AL,Alabama,Etowah County,Etowah,"Etowah, AL",Active Apprentices,43.0,16.08,16.50
FY 2023,AL,Alabama,Cullman County,Cullman,"Cullman, AL",Active Apprentices,35.0,14.34,15.00
FY 2023,AL,Alabama,DeKalb County,DeKalb,"DeKalb, AL",Active Apprentices,20.0,14.40,15.00
FY 2023,AL,Alabama,Conecuh County,Conecuh,"Conecuh, AL",Active Apprentices,16.0,13.16,14.00
FY 2023,AL,Alabama,Sumter County,Sumter,"Sumter, AL",Active Apprentices,15.0,11.60,11.50
FY 2023,AL,Alabama,Covington County,Covington,"Covington, AL",Active Apprentices,15.0,13.01,13.25
FY 2023,AL,Alabama,Morgan County,Morgan,"Morgan, AL",Active Apprentices,14.0,24.36,25.00
FY 2023,AL,Alabama,Marshall County,Marshall,"Marshall, AL",Active Apprentices,10.0,18.01,18.00
FY 2023,AL,Alabama,Houston County,Houston,"Houston, AL",Active Apprentices,0.0,13.00,13.00
FY 2023,AL,Alabama,Dallas County,Dallas,"Dallas, AL",Active Apprentices,0.0,12.00,12.00
FY 2023,AL,Alabama,Walker County,Walker,"Walker, AL",Active Apprentices,0.0,14.67,14.50
FY 2023,AL,Alabama,Pickens County,Pickens,"Pickens, AL",Active Apprentices,0.0,,0.12
FY 2023,AL,Alabama,Elmore County,Elmore,"Elmore, AL",Active Apprentices,0.0,12.58,11.00
FY 2023,AL,Alabama,Russell County,Russell,"Russell, AL",Active Apprentices,0.0,15.25,14.00
FY 2023,AL,Alabama,Calhoun County,Calhoun,"Calhoun, AL",Active Apprentices,0.0,20.39,21.52
FY 2023,AL,Alabama,Franklin County,Franklin,"Franklin, AL",Active Apprentices,0.0,15.00,15.00
FY 2024,AL,Alabama,Jefferson County,Jefferson,"Jefferson, AL",Active Apprentices,953.0,17.05,17.00
FY 2024,AL,Alabama,Mobile County,Mobile,"Mobile, AL",Active Apprentices,521.0,17.45,17.00
FY 2024,AL,Alabama,Shelby County,Shelby,"Shelby, AL",Active Apprentices,477.0,22.26,22.05
FY 2024,AL,Alabama,Colbert County,Colbert,"Colbert, AL",Active Apprentices,422.0,17.23,15.63
FY 2024,AL,Alabama,Madison County,Madison,"Madison, AL",Active Apprentices,356.0,17.97,18.00
FY 2024,AL,Alabama,Montgomery County,Montgomery,"Montgomery, AL",Active Apprentices,249.0,15.46,15.00
FY 2024,AL,Alabama,Tuscaloosa County,Tuscaloosa,"Tuscaloosa, AL",Active Apprentices,172.0,17.88,18.06
FY 2024,AL,Alabama,Baldwin County,Baldwin,"Baldwin, AL",Active Apprentices,144.0,17.64,16.60
FY 2024,AL,Alabama,Lauderdale County,Lauderdale,"Lauderdale, AL",Active Apprentices,109.0,18.15,17.51
FY 2024,AL,Alabama,Limestone County,Limestone,"Limestone, AL",Active Apprentices,104.0,16.26,15.00
FY 2024,AL,Alabama,Pike County,Pike,"Pike, AL",Active Apprentices,93.0,14.69,15.00
FY 2024,AL,Alabama,Lee County,Lee,"Lee, AL",Active Apprentices,85.0,14.39,14.00
FY 2024,AL,Alabama,Talladega County,Talladega,"Talladega, AL",Active Apprentices,62.0,21.65,16.00
FY 2024,AL,Alabama,Etowah County,Etowah,"Etowah, AL",Active Apprentices,50.0,16.16,16.50
FY 2024,AL,Alabama,Tallapoosa County,Tallapoosa,"Tallapoosa, AL",Active Apprentices,46.0,15.14,16.00
FY 2024,AL,Alabama,Cullman County,Cullman,"Cullman, AL",Active Apprentices,35.0,15.02,15.00
FY 2024,AL,Alabama,Covington County,Covington,"Covington, AL",Active Apprentices,27.0,19.71,13.25
FY 2024,AL,Alabama,Conecuh County,Conecuh,"Conecuh, AL",Active Apprentices,22.0,13.89,14.00
FY 2024,AL,Alabama,Morgan County,Morgan,"Morgan, AL",Active Apprentices,19.0,21.81,24.00
FY 2024,AL,Alabama,Sumter County,Sumter,"Sumter, AL",Active Apprentices,13.0,13.17,11.50
FY 2024,AL,Alabama,Dallas County,Dallas,"Dallas, AL",Active Apprentices,13.0,13.38,12.00
FY 2024,AL,Alabama,Marengo County,Marengo,"Marengo, AL",Active Apprentices,12.0,13.08,13.08
FY 2024,AL,Alabama,Dale County,Dale,"Dale, AL",Active Apprentices,12.0,24.52,24.35
FY 2024,AL,Alabama,Pickens County,Pickens,"Pickens, AL",Active Apprentices,11.0,14.00,13.00
FY 2024,AL,Alabama,Marshall County,Marshall,"Marshall, AL",Active Apprentices,11.0,16.62,15.00
FY 2024,AL,Alabama,DeKalb County,DeKalb,"DeKalb, AL",Active Apprentices,11.0,14.45,15.00
FY 2024,AL,Alabama,Calhoun County,Calhoun,"Calhoun, AL",Active Apprentices,0.0,17.38,15.69
FY 2024,AL,Alabama,Russell County,Russell,"Russell, AL",Active Apprentices,0.0,14.43,13.00
FY 2024,AL,Alabama,Elmore County,Elmore,"Elmore, AL",Active Apprentices,0.0,13.07,11.00
FY 2024,AL,Alabama,Houston County,Houston,"Houston, AL",Active Apprentices,0.0,13.00,13.00
FY 2024,AL,Alabama,Walker County,Walker,"Walker, AL",Active Apprentices,0.0,16.67,16.00
FY 2024,AL,Alabama,Chambers County,Chambers,"Chambers, AL",Active Apprentices,0.0,29.95,29.95
FY 2024,AL,Alabama,Franklin County,Franklin,"Franklin, AL",Active Apprentices,0.0,15.00,15.00
FY 2025,AL,Alabama,Jefferson County,Jefferson,"Jefferson, AL",Active Apprentices,963.0,16.86,16.88
FY 2025,AL,Alabama,Mobile County,Mobile,"Mobile, AL",Active Apprentices,527.0,18.32,17.50
FY 2025,AL,Alabama,Madison County,Madison,"Madison, AL",Active Apprentices,441.0,18.39,18.00
FY 2025,AL,Alabama,Shelby County,Shelby,"Shelby, AL",Active Apprentices,413.0,23.33,23.73
FY 2025,AL,Alabama,Colbert County,Colbert,"Colbert, AL",Active Apprentices,403.0,17.68,16.48
FY 2025,AL,Alabama,Montgomery County,Montgomery,"Montgomery, AL",Active Apprentices,254.0,16.42,15.42
FY 2025,AL,Alabama,Tuscaloosa County,Tuscaloosa,"Tuscaloosa, AL",Active Apprentices,208.0,19.46,19.26
FY 2025,AL,Alabama,Baldwin County,Baldwin,"Baldwin, AL",Active Apprentices,130.0,19.46,21.00
FY 2025,AL,Alabama,Lauderdale County,Lauderdale,"Lauderdale, AL",Active Apprentices,127.0,20.19,20.19
FY 2025,AL,Alabama,Limestone County,Limestone,"Limestone, AL",Active Apprentices,118.0,16.08,15.00
FY 2025,AL,Alabama,Lee County,Lee,"Lee, AL",Active Apprentices,109.0,15.20,14.50
FY 2025,AL,Alabama,Cullman County,Cullman,"Cullman, AL",Active Apprentices,78.0,15.98,15.50
FY 2025,AL,Alabama,Pike County,Pike,"Pike, AL",Active Apprentices,71.0,14.85,14.00
FY 2025,AL,Alabama,Talladega County,Talladega,"Talladega, AL",Active Apprentices,66.0,21.65,16.00
FY 2025,AL,Alabama,Tallapoosa County,Tallapoosa,"Tallapoosa, AL",Active Apprentices,55.0,14.42,15.00
FY 2025,AL,Alabama,Etowah County,Etowah,"Etowah, AL",Active Apprentices,36.0,17.24,16.50
FY 2025,AL,Alabama,Covington County,Covington,"Covington, AL",Active Apprentices,26.0,20.40,15.00
FY 2025,AL,Alabama,Morgan County,Morgan,"Morgan, AL",Active Apprentices,25.0,22.41,24.00
FY 2025,AL,Alabama,Pickens County,Pickens,"Pickens, AL",Active Apprentices,22.0,17.18,13.00
FY 2025,AL,Alabama,DeKalb County,DeKalb,"DeKalb, AL",Active Apprentices,18.0,14.22,15.00
FY 2025,AL,Alabama,Marshall County,Marshall,"Marshall, AL",Active Apprentices,17.0,16.65,15.00
FY 2025,AL,Alabama,Houston County,Houston,"Houston, AL",Active Apprentices,17.0,14.82,16.00
FY 2025,AL,Alabama,Calhoun County,Calhoun,"Calhoun, AL",Active Apprentices,16.0,20.25,20.55
FY 2025,AL,Alabama,Conecuh County,Conecuh,"Conecuh, AL",Active Apprentices,15.0,14.50,15.00
FY 2025,AL,Alabama,Dallas County,Dallas,"Dallas, AL",Active Apprentices,13.0,13.38,12.00
FY 2025,AL,Alabama,Marengo County,Marengo,"Marengo, AL",Active Apprentices,12.0,13.08,13.08
FY 2025,AL,Alabama,Sumter County,Sumter,"Sumter, AL",Active Apprentices,0.0,16.33,18.75
FY 2025,AL,Alabama,Elmore County,Elmore,"Elmore, AL",Active Apprentices,0.0,12.88,12.25
FY 2025,AL,Alabama,Walker County,Walker,"Walker, AL",Active Apprentices,0.0,16.67,16.00
FY 2025,AL,Alabama,Russell County,Russell,"Russell, AL",Active Apprentices,0.0,13.00,12.00
FY 2025,AL,Alabama,Dale County,Dale,"Dale, AL",Active Apprentices,0.0,26.16,26.16
FY 2025,AL,Alabama,Chambers County,Chambers,"Chambers, AL",Active Apprentices,0.0,29.95,29.95
FY 2025,AL,Alabama,Franklin County,Franklin,"Franklin, AL",Active Apprentices,0.0,15.00,15.00
FY 2026,AL,Alabama,Jefferson County,Jefferson,"Jefferson, AL",Active Apprentices,962.0,16.98,17.50
FY 2026,AL,Alabama,Mobile County,Mobile,"Mobile, AL",Active Apprentices,568.0,18.91,17.85
FY 2026,AL,Alabama,Madison County,Madison,"Madison, AL",Active Apprentices,411.0,18.64,18.00
FY 2026,AL,Alabama,Colbert County,Colbert,"Colbert, AL",Active Apprentices,408.0,18.06,16.48
FY 2026,AL,Alabama,Shelby County,Shelby,"Shelby, AL",Active Apprentices,377.0,23.67,24.26
FY 2026,AL,Alabama,Montgomery County,Montgomery,"Montgomery, AL",Active Apprentices,257.0,16.42,15.55
FY 2026,AL,Alabama,Tuscaloosa County,Tuscaloosa,"Tuscaloosa, AL",Active Apprentices,156.0,19.75,19.26
FY 2026,AL,Alabama,Baldwin County,Baldwin,"Baldwin, AL",Active Apprentices,136.0,19.58,21.00
FY 2026,AL,Alabama,Limestone County,Limestone,"Limestone, AL",Active Apprentices,133.0,16.12,16.00
FY 2026,AL,Alabama,Lee County,Lee,"Lee, AL",Active Apprentices,130.0,15.98,15.00
FY 2026,AL,Alabama,Lauderdale County,Lauderdale,"Lauderdale, AL",Active Apprentices,125.0,20.32,20.43
FY 2026,AL,Alabama,Cullman County,Cullman,"Cullman, AL",Active Apprentices,97.0,16.08,16.00
FY 2026,AL,Alabama,Pike County,Pike,"Pike, AL",Active Apprentices,82.0,14.82,14.00
FY 2026,AL,Alabama,Talladega County,Talladega,"Talladega, AL",Active Apprentices,68.0,21.65,16.00
FY 2026,AL,Alabama,Tallapoosa County,Tallapoosa,"Tallapoosa, AL",Active Apprentices,51.0,15.21,16.00
FY 2026,AL,Alabama,DeKalb County,DeKalb,"DeKalb, AL",Active Apprentices,35.0,14.77,15.00
FY 2026,AL,Alabama,Marshall County,Marshall,"Marshall, AL",Active Apprentices,30.0,16.60,16.00
FY 2026,AL,Alabama,Covington County,Covington,"Covington, AL",Active Apprentices,30.0,19.34,14.50
FY 2026,AL,Alabama,Etowah County,Etowah,"Etowah, AL",Active Apprentices,29.0,16.40,16.50
FY 2026,AL,Alabama,Morgan County,Morgan,"Morgan, AL",Active Apprentices,26.0,21.26,21.07
FY 2026,AL,Alabama,Pickens County,Pickens,"Pickens, AL",Active Apprentices,24.0,17.18,13.00
FY 2026,AL,Alabama,Houston County,Houston,"Houston, AL",Active Apprentices,20.0,14.55,14.50
FY 2026,AL,Alabama,Dallas County,Dallas,"Dallas, AL",Active Apprentices,20.0,15.50,15.00
FY 2026,AL,Alabama,Sumter County,Sumter,"Sumter, AL",Active Apprentices,16.0,13.91,750.00
FY 2026,AL,Alabama,Calhoun County,Calhoun,"Calhoun, AL",Active Apprentices,15.0,21.46,21.52
FY 2026,AL,Alabama,Russell County,Russell,"Russell, AL",Active Apprentices,0.0,14.19,15.29
FY 2026,AL,Alabama,Marengo County,Marengo,"Marengo, AL",Active Apprentices,0.0,13.08,13.08
FY 2026,AL,Alabama,Elmore County,Elmore,"Elmore, AL",Active Apprentices,0.0,12.88,12.25
FY 2026,AL,Alabama,Conecuh County,Conecuh,"Conecuh, AL",Active Apprentices,0.0,14.00,14.00
FY 2026,AL,Alabama,Walker County,Walker,"Walker, AL",Active Apprentices,0.0,16.67,16.00
FY 2026,AL,Alabama,Dale County,Dale,"Dale, AL",Active Apprentices,0.0,26.16,26.16
FY 2026,AL,Alabama,Lamar County,Lamar,"Lamar, AL",Active Apprentices,0.0,19.75,19.75
FY 2026,AL,Alabama,Chambers County,Chambers,"Chambers, AL",Active Apprentices,0.0,29.95,29.95
FY 2026,AL,Alabama,Franklin County,Franklin,"Franklin, AL",Active Apprentices,0.0,15.00,15.00
FY 2020,AK,Alaska,Anchorage Municipality,Anchorage,"Anchorage, AK",Active Apprentices,1145.0,20.62,19.85
FY 2020,AK,Alaska,Matanuska-Susitna Borough,Matanuska-Susitna,"Matanuska-Susitna, AK",Active Apprentices,255.0,20.61,22.00
FY 2020,AK,Alaska,Fairbanks North Star Borough,Fairbanks North Star,"Fairbanks North Star, AK",Active Apprentices,155.0,21.48,21.11
FY 2020,AK,Alaska,Kenai Peninsula Borough,Kenai Peninsula,"Kenai Peninsula, AK",Active Apprentices,61.0,19.45,18.00
FY 2020,AK,Alaska,Juneau City and Borough,Juneau City and,"Juneau City and, AK",Active Apprentices,43.0,19.63,19.19
FY 2020,AK,Alaska,Bethel Census Area,Bethel,"Bethel, AK",Active Apprentices,42.0,28.72,27.29
FY 2020,AK,Alaska,Kodiak Island Borough,Kodiak Island,"Kodiak Island, AK",Active Apprentices,13.0,19.66,18.10
FY 2020,AK,Alaska,Ketchikan Gateway Borough,Ketchikan Gateway,"Ketchikan Gateway, AK",Active Apprentices,13.0,19.12,18.00
FY 2020,AK,Alaska,Valdez-Cordova Census Area,Valdez-Cordova,"Valdez-Cordova, AK",Active Apprentices,0.0,22.43,20.00
FY 2020,AK,Alaska,Aleutians West Census Area,Aleutians West,"Aleutians West, AK",Active Apprentices,0.0,28.02,29.64
FY 2020,AK,Alaska,Sitka City and Borough,Sitka City and,"Sitka City and, AK",Active Apprentices,0.0,26.09,25.00
FY 2020,AK,Alaska,Wrangell City and Borough,Wrangell City and,"Wrangell City and, AK",Active Apprentices,0.0,17.46,18.50
FY 2020,AK,Alaska,Skagway Municipality,Skagway,"Skagway, AK",Active Apprentices,0.0,19.64,19.91
FY 2020,AK,Alaska,Petersburg Borough,Petersburg,"Petersburg, AK",Active Apprentices,0.0,17.23,17.00
FY 2020,AK,Alaska,Haines Borough,Haines,"Haines, AK",Active Apprentices,0.0,20.00,20.00
FY 2020,AK,Alaska,North Slope Borough,North Slope,"North Slope, AK",Active Apprentices,0.0,23.48,23.48
FY 2020,AK,Alaska,Dillingham Census Area,Dillingham,"Dillingham, AK",Active Apprentices,0.0,22.65,22.65
FY 2020,AK,Alaska,Southeast Fairbanks Census Area,Southeast Fairbanks,"Southeast Fairbanks, AK",Active Apprentices,0.0,35.00,35.00
FY 2020,AK,Alaska,Prince of Wales-Hyder Census Area,Prince of Wales-Hyder,"Prince of Wales-Hyder, AK",Active Apprentices,0.0,18.00,18.00
FY 2020,AK,Alaska,Northwest Arctic Borough,Northwest Arctic,"Northwest Arctic, AK",Active Apprentices,0.0,20.00,20.00
FY 2020,AK,Alaska,Nome Census Area,Nome,"Nome, AK",Active Apprentices,0.0,22.00,22.00
FY 2020,AK,Alaska,Kusilvak Census Area,Kusilvak,"Kusilvak, AK",Active Apprentices,0.0,36.65,36.65
FY 2020,AK,Alaska,Hoonah-Angoon Census Area,Hoonah-Angoon,"Hoonah-Angoon, AK",Active Apprentices,0.0,20.00,20.00
FY 2021,AK,Alaska,Anchorage Municipality,Anchorage,"Anchorage, AK",Active Apprentices,1238.0,20.87,20.00
FY 2021,AK,Alaska,Matanuska-Susitna Borough,Matanuska-Susitna,"Matanuska-Susitna, AK",Active Apprentices,262.0,20.90,21.00
FY 2021,AK,Alaska,Fairbanks North Star Borough,Fairbanks North Star,"Fairbanks North Star, AK",Active Apprentices,155.0,21.24,21.11
FY 2021,AK,Alaska,Juneau City and Borough,Juneau City and,"Juneau City and, AK",Active Apprentices,71.0,20.57,19.01
FY 2021,AK,Alaska,Kenai Peninsula Borough,Kenai Peninsula,"Kenai Peninsula, AK",Active Apprentices,47.0,18.95,18.00
FY 2021,AK,Alaska,Bethel Census Area,Bethel,"Bethel, AK",Active Apprentices,21.0,17.32,14.33
FY 2021,AK,Alaska,Ketchikan Gateway Borough,Ketchikan Gateway,"Ketchikan Gateway, AK",Active Apprentices,14.0,20.04,19.00
FY 2021,AK,Alaska,Kodiak Island Borough,Kodiak Island,"Kodiak Island, AK",Active Apprentices,0.0,23.44,18.50
FY 2021,AK,Alaska,Aleutians West Census Area,Aleutians West,"Aleutians West, AK",Active Apprentices,0.0,27.44,29.64
FY 2021,AK,Alaska,Valdez-Cordova Census Area,Valdez-Cordova,"Valdez-Cordova, AK",Active Apprentices,0.0,22.90,20.00
FY 2021,AK,Alaska,Sitka City and Borough,Sitka City and,"Sitka City and, AK",Active Apprentices,0.0,25.87,25.00
FY 2021,AK,Alaska,Wrangell City and Borough,Wrangell City and,"Wrangell City and, AK",Active Apprentices,0.0,18.10,18.57
FY 2021,AK,Alaska,Petersburg Borough,Petersburg,"Petersburg, AK",Active Apprentices,0.0,16.00,15.00
FY 2021,AK,Alaska,Skagway Municipality,Skagway,"Skagway, AK",Active Apprentices,0.0,19.30,19.00
