level,state,board_name,quarter,total,adult,dw,youth,ra,ra_adult,ra_dw,ra_youth,ojt,ra_ojt,ita,ra_ita,ss,ra_ss
state,AK,AK,PY20_Q1,783,263,123,365,56,18,43,0,8,2,294,27,379,41
state,AK,AK,PY20_Q2,817,265,117,370,54,20,38,1,7,2,285,20,378,40
state,AK,AK,PY20_Q3,916,301,123,446,73,29,46,2,7,3,292,24,428,55
state,AK,AK,PY20_Q4,1003,330,113,547,132,88,44,4,5,3,242,24,409,86
state,AK,AK,PY21_Q1,849,322,81,432,85,55,30,3,5,2,278,34,394,67
state,AK,AK,PY21_Q2,843,350,75,429,105,64,37,6,4,1,289,44,399,86
state,AK,AK,PY21_Q3,933,414,98,442,128,75,56,5,5,2,323,59,434,95
state,AK,AK,PY21_Q4,985,431,98,477,157,105,56,5,4,2,302,76,472,123
state,AK,AK,PY22_Q1,922,358,88,494,149,105,49,3,1,1,318,83,437,123
state,AK,AK,PY22_Q2,929,327,121,501,180,113,71,5,3,2,305,103,448,155
state,AK,AK,PY22_Q3,990,326,136,543,198,108,92,6,3,2,314,113,459,175
state,AK,AK,PY22_Q4,1143,412,171,576,270,202,129,6,3,2,358,151,497,237
state,AK,AK,PY23_Q1,1122,455,186,494,255,133,127,3,2,2,475,171,589,216
state,AK,AK,PY23_Q2,1113,457,218,451,278,133,149,3,2,2,503,187,591,231
state,AK,AK,PY23_Q3,1155,483,244,444,300,135,169,5,2,2,532,193,611,241
state,AK,AK,PY23_Q4,1198,538,222,453,313,164,152,4,2,1,495,198,546,232
board,AK,Alaska Workforce Investment Board (AK),PY20_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AK,Alaska Workforce Investment Board (AK),PY20_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AK,Alaska Workforce Investment Board (AK),PY20_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AK,Alaska Workforce Investment Board (AK),PY20_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AK,Anchorage/Mat-Su Local Workforce Investment Area,PY23_Q1,624,280,92,256,161,101,61,2,0,0,314,115,293,143
board,AK,Anchorage/Mat-Su Local Workforce Investment Area,PY23_Q2,603,285,108,214,175,105,71,3,0,0,326,127,300,153
board,AK,Anchorage/Mat-Su Local Workforce Investment Area,PY23_Q3,664,306,121,245,194,112,83,5,0,0,341,129,318,158
board,AK,Anchorage/Mat-Su Local Workforce Investment Area,PY23_Q4,733,358,119,265,225,143,84,4,0,0,334,149,302,167
board,AK,Balance of State Local Workforce Investment Area,PY23_Q1,498,175,94,238,94,32,66,1,2,2,161,56,296,73
board,AK,Balance of State Local Workforce Investment Area,PY23_Q2,510,172,110,237,103,28,78,0,2,2,177,60,291,78
board,AK,Balance of State Local Workforce Investment Area,PY23_Q3,491,177,123,199,106,23,86,0,2,2,191,64,293,83
board,AK,Balance of State Local Workforce Investment Area,PY23_Q4,465,180,103,188,88,21,68,0,2,1,161,49,244,65
board,AK,Blank-AK ETACode,PY23_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AK,Blank-AK ETACode,PY23_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AK,Blank-AK ETACode,PY23_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AK,Blank-AK ETACode,PY23_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AK,ETACode - 2030,PY20_Q1,490,181,59,209,16,9,8,0,3,0,189,5,206,13
board,AK,ETACode - 2030,PY20_Q2,518,173,58,215,11,6,5,1,2,0,189,3,196,8
board,AK,ETACode - 2030,PY20_Q3,581,199,64,268,22,11,10,2,2,0,194,7,225,16
board,AK,ETACode - 2030,PY20_Q4,644,233,61,331,75,61,11,4,1,0,171,11,216,40
board,AK,ETACode - 2030,PY21_Q1,531,217,40,251,39,30,7,2,3,0,184,15,200,30
board,AK,ETACode - 2030,PY21_Q2,488,214,25,250,47,36,9,3,3,0,164,20,174,35
board,AK,ETACode - 2030,PY21_Q3,582,276,40,274,68,51,20,1,4,1,190,35,211,42
board,AK,ETACode - 2030,PY21_Q4,619,292,47,288,97,74,26,1,3,1,175,48,254,73
board,AK,ETACode - 2030,PY22_Q1,533,237,40,262,104,81,24,2,1,1,192,58,229,86
board,AK,ETACode - 2030,PY22_Q2,518,222,47,257,121,92,29,4,1,1,185,75,220,102
board,AK,ETACode - 2030,PY22_Q3,561,221,54,293,121,84,35,5,0,0,194,78,211,101
board,AK,ETACode - 2030,PY22_Q4,664,279,74,319,162,109,52,5,0,0,224,99,225,137
board,AK,ETACode - 2035,PY20_Q1,293,82,64,156,40,9,35,0,5,2,105,22,173,28
board,AK,ETACode - 2035,PY20_Q2,299,92,59,155,43,14,33,0,5,2,96,17,182,32
board,AK,ETACode - 2035,PY20_Q3,335,102,59,178,51,18,36,0,5,3,98,17,203,39
board,AK,ETACode - 2035,PY20_Q4,359,97,52,216,57,27,33,0,4,3,71,13,193,46
board,AK,ETACode - 2035,PY21_Q1,318,105,41,181,46,25,23,1,2,2,94,19,194,37
board,AK,ETACode - 2035,PY21_Q2,355,136,50,179,58,28,28,3,1,1,125,24,225,51
board,AK,ETACode - 2035,PY21_Q3,351,138,58,168,60,24,36,4,1,1,133,24,223,53
board,AK,ETACode - 2035,PY21_Q4,366,139,51,189,60,31,30,4,1,1,127,28,218,50
board,AK,ETACode - 2035,PY22_Q1,389,121,48,232,45,24,25,1,0,0,126,25,208,37
board,AK,ETACode - 2035,PY22_Q2,411,105,74,244,59,21,42,1,2,1,120,28,228,53
board,AK,ETACode - 2035,PY22_Q3,428,105,82,250,77,24,57,1,3,2,120,35,247,74
board,AK,ETACode - 2035,PY22_Q4,478,133,97,257,108,35,77,1,3,2,134,52,271,100
state,AL,AL,PY20_Q1,6854,5003,881,1014,19,18,0,1,1095,1,3988,9,334,0
state,AL,AL,PY20_Q2,6056,4191,877,1026,12,12,0,0,977,0,3378,7,400,0
state,AL,AL,PY20_Q3,5359,3502,777,1109,8,8,0,0,824,0,2772,4,454,0
state,AL,AL,PY20_Q4,4910,3139,673,1123,9,9,0,0,581,0,2459,5,432,0
state,AL,AL,PY21_Q1,4097,2623,603,898,12,12,0,0,438,0,2132,12,538,0
state,AL,AL,PY21_Q2,3695,2354,483,883,10,10,0,0,364,0,1852,10,507,0
state,AL,AL,PY21_Q3,4060,2541,432,1105,8,8,0,0,405,0,1669,8,588,0
state,AL,AL,PY21_Q4,4871,3344,348,1197,8,8,0,0,412,0,1638,8,529,0
state,AL,AL,PY22_Q1,5716,4351,285,1099,16,15,1,0,410,0,1628,14,632,1
state,AL,AL,PY22_Q2,5428,4139,213,1085,16,14,1,1,326,0,1478,13,641,0
state,AL,AL,PY22_Q3,5730,4419,171,1142,17,16,1,0,304,0,1330,11,684,0
state,AL,AL,PY22_Q4,6314,5033,124,1159,31,29,1,1,264,0,1264,9,671,0
state,AL,AL,PY23_Q1,5819,4610,90,1091,14,13,0,1,296,0,1394,11,741,0
state,AL,AL,PY23_Q2,5386,4228,77,1038,6,5,0,1,281,0,1288,4,738,0
state,AL,AL,PY23_Q3,5462,4288,88,1030,2,2,0,0,299,0,1085,2,826,0
state,AL,AL,PY23_Q4,6022,4800,60,1075,2,2,0,0,271,0,978,2,856,0
board,AL,Blank-AL ETACode,PY23_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AL,Blank-AL ETACode,PY23_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AL,Blank-AL ETACode,PY23_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AL,Blank-AL ETACode,PY23_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AL,Central Alabama Partnership for Training and Employment,PY20_Q1,655,576,44,39,1,1,0,0,160,0,392,1,25,0
board,AL,Central Alabama Partnership for Training and Employment,PY20_Q2,665,560,56,53,1,1,0,0,135,0,407,1,41,0
board,AL,Central Alabama Partnership for Training and Employment,PY20_Q3,574,474,40,61,1,1,0,0,110,0,335,1,46,0
board,AL,Central Alabama Partnership for Training and Employment,PY20_Q4,518,423,35,61,1,1,0,0,81,0,312,1,46,0
board,AL,Central Alabama Partnership for Training and Employment,PY21_Q1,415,340,25,52,1,1,0,0,42,0,266,1,58,0
board,AL,Central Alabama Partnership for Training and Employment,PY21_Q2,306,246,18,44,1,1,0,0,15,0,192,1,49,0
board,AL,Central Alabama Partnership for Training and Employment,PY21_Q3,267,198,14,56,0,0,0,0,6,0,152,0,63,0
board,AL,Central Alabama Partnership for Training and Employment,PY21_Q4,302,247,12,43,0,0,0,0,0,0,140,0,54,0
board,AL,Central Alabama Partnership for Training and Employment,PY22_Q1,302,279,7,16,0,0,0,0,0,0,136,0,28,0
board,AL,Central Alabama Partnership for Training and Employment,PY22_Q2,206,151,7,48,1,0,0,1,0,0,131,0,17,0
board,AL,Central Alabama Partnership for Training and Employment,PY22_Q3,220,158,6,51,0,0,0,0,1,0,136,0,21,0
board,AL,Central Alabama Partnership for Training and Employment,PY22_Q4,235,172,8,56,1,0,0,1,3,0,141,0,16,0
board,AL,Central Alabama Partnership for Training and Employment,PY23_Q1,249,203,5,42,1,0,0,1,13,0,161,0,14,0
board,AL,Central Alabama Partnership for Training and Employment,PY23_Q2,271,239,6,26,1,0,0,1,15,0,141,0,10,0
board,AL,Central Alabama Partnership for Training and Employment,PY23_Q3,252,223,6,22,0,0,0,0,15,0,134,0,21,0
board,AL,Central Alabama Partnership for Training and Employment,PY23_Q4,333,286,6,42,0,0,0,0,10,0,110,0,29,0
board,AL,Central Alabama Works!,PY20_Q1,1123,836,114,177,5,5,0,0,177,0,655,3,12,0
board,AL,Central Alabama Works!,PY20_Q2,1167,871,107,194,2,2,0,0,167,0,725,2,14,0
board,AL,Central Alabama Works!,PY20_Q3,1092,781,107,209,1,1,0,0,137,0,643,1,22,0
board,AL,Central Alabama Works!,PY20_Q4,1052,747,89,219,2,2,0,0,116,0,590,2,20,0
board,AL,Central Alabama Works!,PY21_Q1,1007,728,78,204,2,2,0,0,128,0,602,2,31,0
board,AL,Central Alabama Works!,PY21_Q2,975,702,46,231,0,0,0,0,112,0,598,0,51,0
board,AL,Central Alabama Works!,PY21_Q3,1007,692,34,281,0,0,0,0,94,0,520,0,71,0
board,AL,Central Alabama Works!,PY21_Q4,1062,747,20,295,0,0,0,0,86,0,471,0,70,0
board,AL,Central Alabama Works!,PY22_Q1,1430,1111,18,304,5,5,0,0,90,0,440,5,66,0
board,AL,Central Alabama Works!,PY22_Q2,1453,1143,15,295,5,5,0,0,65,0,383,5,89,0
board,AL,Central Alabama Works!,PY22_Q3,1400,1081,19,301,4,4,0,0,60,0,348,3,105,0
board,AL,Central Alabama Works!,PY22_Q4,1500,1193,14,294,2,2,0,0,65,0,300,1,93,0
board,AL,Central Alabama Works!,PY23_Q1,1148,875,7,270,2,2,0,0,61,0,303,1,84,0
board,AL,Central Alabama Works!,PY23_Q2,975,700,10,269,1,1,0,0,48,0,276,1,103,0
board,AL,Central Alabama Works!,PY23_Q3,944,660,25,260,0,0,0,0,52,0,235,0,123,0
board,AL,Central Alabama Works!,PY23_Q4,953,673,15,265,0,0,0,0,52,0,176,0,110,0
board,AL,ETACode - 01903,PY20_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AL,ETACode - 01903,PY20_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AL,ETACode - 01903,PY20_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AL,ETACode - 01903,PY20_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AL,ETACode - 01903,PY21_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AL,ETACode - 01903,PY21_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AL,ETACode - 01903,PY21_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AL,ETACode - 01903,PY21_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AL,East Alabama Works!,PY20_Q1,811,460,284,71,1,1,0,0,98,0,396,1,17,0
board,AL,East Alabama Works!,PY20_Q2,782,436,277,72,1,1,0,0,79,0,393,1,23,0
board,AL,East Alabama Works!,PY20_Q3,749,417,249,86,0,0,0,0,80,0,357,0,30,0
board,AL,East Alabama Works!,PY20_Q4,752,427,240,88,0,0,0,0,94,0,338,0,29,0
board,AL,East Alabama Works!,PY21_Q1,632,359,208,71,0,0,0,0,78,0,289,0,32,0
board,AL,East Alabama Works!,PY21_Q2,557,313,193,56,0,0,0,0,66,0,257,0,21,0
board,AL,East Alabama Works!,PY21_Q3,627,398,170,63,0,0,0,0,75,0,230,0,40,0
board,AL,East Alabama Works!,PY21_Q4,689,487,142,64,0,0,0,0,83,0,224,0,33,0
board,AL,East Alabama Works!,PY22_Q1,640,445,115,84,0,0,0,0,78,0,217,0,50,0
board,AL,East Alabama Works!,PY22_Q2,542,393,75,76,0,0,0,0,75,0,198,0,41,0
board,AL,East Alabama Works!,PY22_Q3,461,329,58,74,0,0,0,0,76,0,163,0,33,0
board,AL,East Alabama Works!,PY22_Q4,458,350,31,77,0,0,0,0,61,0,155,0,34,0
board,AL,East Alabama Works!,PY23_Q1,417,309,24,88,0,0,0,0,62,0,137,0,45,0
board,AL,East Alabama Works!,PY23_Q2,408,312,22,79,0,0,0,0,55,0,132,0,46,0
board,AL,East Alabama Works!,PY23_Q3,528,439,23,70,0,0,0,0,50,0,95,0,61,0
board,AL,East Alabama Works!,PY23_Q4,699,604,14,83,0,0,0,0,45,0,100,0,78,0
board,AL,North Alabama Works!,PY20_Q1,1409,901,156,365,2,1,0,1,255,0,575,2,100,0
board,AL,North Alabama Works!,PY20_Q2,1216,720,162,342,1,1,0,0,235,0,453,1,112,0
board,AL,North Alabama Works!,PY20_Q3,1043,568,161,324,0,0,0,0,189,0,341,0,117,0
board,AL,North Alabama Works!,PY20_Q4,925,490,162,282,0,0,0,0,102,0,315,0,103,0
board,AL,North Alabama Works!,PY21_Q1,658,293,176,196,0,0,0,0,49,0,207,0,171,0
board,AL,North Alabama Works!,PY21_Q2,588,272,146,177,0,0,0,0,43,0,166,0,160,0
board,AL,North Alabama Works!,PY21_Q3,626,325,115,192,0,0,0,0,46,0,162,0,177,0
board,AL,North Alabama Works!,PY21_Q4,853,565,102,192,0,0,0,0,60,0,174,0,165,0
board,AL,North Alabama Works!,PY22_Q1,1020,748,70,205,3,2,1,0,51,0,138,1,189,0
board,AL,North Alabama Works!,PY22_Q2,1048,788,61,202,3,2,1,0,40,0,118,1,182,0
board,AL,North Alabama Works!,PY22_Q3,1173,922,51,201,6,5,1,0,38,0,137,1,179,0
board,AL,North Alabama Works!,PY22_Q4,1277,1030,46,202,21,20,1,0,29,0,134,1,227,0
board,AL,North Alabama Works!,PY23_Q1,954,698,38,216,1,1,0,0,28,0,148,0,329,0
board,AL,North Alabama Works!,PY23_Q2,862,651,19,192,1,1,0,0,24,0,139,0,307,0
board,AL,North Alabama Works!,PY23_Q3,779,582,12,184,0,0,0,0,25,0,117,0,339,0
board,AL,North Alabama Works!,PY23_Q4,900,715,9,171,0,0,0,0,20,0,103,0,408,0
board,AL,Southeast Alabama Works!,PY20_Q1,660,532,42,93,1,1,0,0,110,0,423,1,47,0
board,AL,Southeast Alabama Works!,PY20_Q2,564,420,52,98,1,1,0,0,104,0,322,1,60,0
board,AL,Southeast Alabama Works!,PY20_Q3,431,292,44,99,1,1,0,0,76,0,254,1,63,0
board,AL,Southeast Alabama Works!,PY20_Q4,385,258,34,96,1,1,0,0,47,0,230,1,52,0
board,AL,Southeast Alabama Works!,PY21_Q1,305,205,25,76,1,1,0,0,12,0,196,1,46,0
board,AL,Southeast Alabama Works!,PY21_Q2,300,218,13,69,1,1,0,0,17,0,206,1,44,0
board,AL,Southeast Alabama Works!,PY21_Q3,338,227,10,100,0,0,0,0,28,0,196,0,59,0
board,AL,Southeast Alabama Works!,PY21_Q4,471,339,8,123,0,0,0,0,21,0,222,0,59,0
board,AL,Southeast Alabama Works!,PY22_Q1,533,387,11,135,0,0,0,0,19,0,221,0,80,0
board,AL,Southeast Alabama Works!,PY22_Q2,499,373,10,116,0,0,0,0,22,0,200,0,69,0
board,AL,Southeast Alabama Works!,PY22_Q3,613,490,8,115,0,0,0,0,25,0,164,0,76,0
board,AL,Southeast Alabama Works!,PY22_Q4,695,582,4,107,0,0,0,0,16,0,163,0,62,0
board,AL,Southeast Alabama Works!,PY23_Q1,672,557,0,106,0,0,0,0,19,0,134,0,68,0
board,AL,Southeast Alabama Works!,PY23_Q2,706,583,1,103,0,0,0,0,21,0,130,0,68,0
board,AL,Southeast Alabama Works!,PY23_Q3,633,526,1,86,0,0,0,0,24,0,91,0,44,0
board,AL,Southeast Alabama Works!,PY23_Q4,667,554,1,91,0,0,0,0,19,0,95,0,32,0
board,AL,Southwest Alabama Partnership and Training and Employment,PY20_Q1,1613,1295,169,157,9,9,0,0,158,1,1204,1,84,0
board,AL,Southwest Alabama Partnership and Training and Employment,PY20_Q2,1172,884,132,161,6,6,0,0,109,0,837,1,105,0
board,AL,Southwest Alabama Partnership and Training and Employment,PY20_Q3,1020,702,101,217,5,5,0,0,102,0,654,1,128,0
board,AL,Southwest Alabama Partnership and Training and Employment,PY20_Q4,860,546,59,255,5,5,0,0,61,0,503,1,131,0
board,AL,Southwest Alabama Partnership and Training and Employment,PY21_Q1,766,508,54,208,8,8,0,0,76,0,456,8,140,0
board,AL,Southwest Alabama Partnership and Training and Employment,PY21_Q2,669,406,48,219,8,8,0,0,78,0,360,8,116,0
board,AL,Southwest Alabama Partnership and Training and Employment,PY21_Q3,756,411,56,291,8,8,0,0,88,0,331,8,103,0
board,AL,Southwest Alabama Partnership and Training and Employment,PY21_Q4,825,503,40,285,8,8,0,0,75,0,331,8,89,0
board,AL,Southwest Alabama Partnership and Training and Employment,PY22_Q1,1085,843,48,199,8,8,0,0,71,0,404,8,162,1
board,AL,Southwest Alabama Partnership and Training and Employment,PY22_Q2,1233,956,36,244,7,7,0,0,50,0,389,7,186,0
board,AL,Southwest Alabama Partnership and Training and Employment,PY22_Q3,1232,950,23,262,7,7,0,0,49,0,308,7,206,0
board,AL,Southwest Alabama Partnership and Training and Employment,PY22_Q4,1375,1094,16,267,7,7,0,0,40,0,278,7,176,0
board,AL,Southwest Alabama Partnership and Training and Employment,PY23_Q1,1627,1358,12,257,10,10,0,0,45,0,393,10,141,0
board,AL,Southwest Alabama Partnership and Training and Employment,PY23_Q2,1607,1323,12,273,3,3,0,0,38,0,347,3,151,0
board,AL,Southwest Alabama Partnership and Training and Employment,PY23_Q3,1709,1383,11,318,2,2,0,0,43,0,301,2,181,0
board,AL,Southwest Alabama Partnership and Training and Employment,PY23_Q4,1684,1377,7,302,2,2,0,0,39,0,271,2,140,0
board,AL,West Alabama Works!,PY20_Q1,583,403,72,112,0,0,0,0,137,0,343,0,49,0
board,AL,West Alabama Works!,PY20_Q2,490,300,91,106,0,0,0,0,148,0,241,0,45,0
board,AL,West Alabama Works!,PY20_Q3,450,268,75,113,0,0,0,0,130,0,188,0,48,0
board,AL,West Alabama Works!,PY20_Q4,418,248,54,122,0,0,0,0,80,0,171,0,51,0
board,AL,West Alabama Works!,PY21_Q1,314,190,37,91,0,0,0,0,53,0,116,0,60,0
board,AL,West Alabama Works!,PY21_Q2,300,197,19,87,0,0,0,0,33,0,73,0,66,0
board,AL,West Alabama Works!,PY21_Q3,439,290,33,122,0,0,0,0,68,0,78,0,75,0
board,AL,West Alabama Works!,PY21_Q4,669,456,24,195,0,0,0,0,87,0,76,0,59,0
board,AL,West Alabama Works!,PY22_Q1,706,538,16,156,0,0,0,0,101,0,72,0,57,0
board,AL,West Alabama Works!,PY22_Q2,447,335,9,104,0,0,0,0,74,0,59,0,57,0
board,AL,West Alabama Works!,PY22_Q3,631,489,6,138,0,0,0,0,55,0,74,0,64,0
board,AL,West Alabama Works!,PY22_Q4,774,612,5,156,0,0,0,0,50,0,93,0,63,0
board,AL,West Alabama Works!,PY23_Q1,752,610,4,112,0,0,0,0,68,0,118,0,60,0
board,AL,West Alabama Works!,PY23_Q2,557,420,7,96,0,0,0,0,80,0,123,0,53,0
board,AL,West Alabama Works!,PY23_Q3,617,475,10,90,0,0,0,0,90,0,112,0,57,0
board,AL,West Alabama Works!,PY23_Q4,786,591,8,121,0,0,0,0,86,0,123,0,59,0
state,AR,AR,PY20_Q1,1242,615,204,396,11,5,3,3,1,0,880,9,573,5
state,AR,AR,PY20_Q2,1214,598,203,390,7,2,3,2,0,0,882,6,577,3
state,AR,AR,PY20_Q3,1105,553,187,352,8,2,4,2,0,0,783,6,506,3
state,AR,AR,PY20_Q4,1119,505,184,416,5,2,3,0,3,0,681,4,453,2
state,AR,AR,PY21_Q1,1056,517,158,384,6,2,3,1,7,0,667,5,546,3
state,AR,AR,PY21_Q2,954,477,153,324,3,1,1,1,8,0,621,3,527,3
state,AR,AR,PY21_Q3,967,504,131,331,3,1,1,1,3,0,605,3,519,3
state,AR,AR,PY21_Q4,1126,550,121,452,3,1,1,1,5,0,596,3,529,3
state,AR,AR,PY22_Q1,1127,600,105,426,4,1,1,2,6,0,490,4,575,4
state,AR,AR,PY22_Q2,1037,547,95,399,3,1,1,1,4,0,470,3,530,3
state,AR,AR,PY22_Q3,1055,598,94,367,4,1,1,2,4,0,474,3,521,4
state,AR,AR,PY22_Q4,998,562,83,352,2,0,1,1,4,0,423,1,476,2
state,AR,AR,PY23_Q1,890,513,78,301,2,0,1,1,1,0,378,1,470,2
state,AR,AR,PY23_Q2,777,455,64,260,1,0,1,0,1,0,311,1,410,1
state,AR,AR,PY23_Q3,783,456,68,261,1,0,1,0,1,0,322,1,403,1
state,AR,AR,PY23_Q4,803,416,54,331,0,0,0,0,0,0,271,0,352,0
board,AR,Blank-AR ETACode,PY23_Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AR,Blank-AR ETACode,PY23_Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AR,Blank-AR ETACode,PY23_Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AR,Blank-AR ETACode,PY23_Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
board,AR,Central,PY20_Q1,66,13,25,27,1,0,1,0,0,0,31,1,6,1
board,AR,Central,PY20_Q2,57,10,21,26,1,0,1,0,0,0,27,1,6,1
board,AR,Central,PY20_Q3,46,8,18,20,1,0,1,0,0,0,22,1,6,1
board,AR,Central,PY20_Q4,38,6,14,18,0,0,0,0,0,0,15,0,2,0
board,AR,Central,PY21_Q1,45,17,16,13,0,0,0,0,0,0,26,0,11,0
board,AR,Central,PY21_Q2,53,24,18,11,0,0,0,0,0,0,33,0,15,0
board,AR,Central,PY21_Q3,54,28,15,11,0,0,0,0,0,0,33,0,13,0
board,AR,Central,PY21_Q4,58,31,14,13,0,0,0,0,0,0,35,0,10,0
board,AR,Central,PY22_Q1,61,33,16,12,0,0,0,0,0,0,45,0,9,0
board,AR,Central,PY22_Q2,68,40,14,14,0,0,0,0,0,0,50,0,6,0
board,AR,Central,PY22_Q3,90,48,20,22,0,0,0,0,0,0,61,0,6,0
board,AR,Central,PY22_Q4,78,36,16,24,0,0,0,0,0,0,49,0,4,0
board,AR,Central,PY23_Q1,44,14,9,21,0,0,0,0,0,0,22,0,4,0
board,AR,Central,PY23_Q2,28,6,5,17,0,0,0,0,0,0,9,0,1,0
board,AR,Central,PY23_Q3,33,12,6,15,0,0,0,0,0,0,14,0,0,0
board,AR,Central,PY23_Q4,35,16,5,14,0,0,0,0,0,0,15,0,0,0
board,AR,City of Little Rock,PY20_Q1,43,17,10,9,1,0,0,1,1,0,22,0,14,0
board,AR,City of Little Rock,PY20_Q2,43,15,13,9,1,0,0,1,0,0,25,0,12,0
board,AR,City of Little Rock,PY20_Q3,48,26,12,14,1,0,0,1,0,0,32,0,15,0
board,AR,City of Little Rock,PY20_Q4,55,32,12,16,0,0,0,0,0,0,31,0,12,0
board,AR,City of Little Rock,PY21_Q1,76,40,16,25,0,0,0,0,0,0,50,0,27,0
board,AR,City of Little Rock,PY21_Q2,59,33,13,15,0,0,0,0,0,0,44,0,26,0
board,AR,City of Little Rock,PY21_Q3,60,35,11,14,0,0,0,0,0,0,42,0,24,0
board,AR,City of Little Rock,PY21_Q4,73,43,10,20,0,0,0,0,1,0,45,0,27,0
board,AR,City of Little Rock,PY22_Q1,119,71,18,30,0,0,0,0,1,0,77,0,42,0
board,AR,City of Little Rock,PY22_Q2,106,55,21,30,0,0,0,0,0,0,74,0,36,0
board,AR,City of Little Rock,PY22_Q3,71,31,16,24,0,0,0,0,0,0,45,0,21,0
board,AR,City of Little Rock,PY22_Q4,49,17,10,22,0,0,0,0,0,0,28,0,11,0
board,AR,City of Little Rock,PY23_Q1,53,26,10,18,0,0,0,0,0,0,30,0,14,0
board,AR,City of Little Rock,PY23_Q2,55,30,8,18,0,0,0,0,0,0,28,0,16,0
board,AR,City of Little Rock,PY23_Q3,57,30,6,22,0,0,0,0,0,0,30,0,18,0
board,AR,City of Little Rock,PY23_Q4,62,28,6,27,0,0,0,0,0,0,33,0,21,0
board,AR,Eastern,PY20_Q1,159,104,13,42,0,0,0,0,0,0,109,0,58,0
board,AR,Eastern,PY20_Q2,158,105,12,41,0,0,0,0,0,0,107,0,61,0
board,AR,Eastern,PY20_Q3,140,94,12,34,0,0,0,0,0,0,99,0,50,0
board,AR,Eastern,PY20_Q4,109,70,6,33,0,0,0,0,0,0,70,0,43,0
board,AR,Eastern,PY21_Q1,70,46,2,22,0,0,0,0,0,0,47,0,34,0
board,AR,Eastern,PY21_Q2,57,41,2,14,0,0,0,0,0,0,42,0,31,0
board,AR,Eastern,PY21_Q3,87,68,5,14,0,0,0,0,0,0,57,0,36,0
board,AR,Eastern,PY21_Q4,96,64,7,25,0,0,0,0,0,0,51,0,27,0
board,AR,Eastern,PY22_Q1,98,61,9,31,0,0,0,0,0,0,26,0,22,0
board,AR,Eastern,PY22_Q2,85,49,8,31,0,0,0,0,0,0,20,0,21,0
board,AR,Eastern,PY22_Q3,97,68,6,26,0,0,0,0,0,0,23,0,25,0
board,AR,Eastern,PY22_Q4,105,70,6,31,0,0,0,0,0,0,25,0,31,0
board,AR,Eastern,PY23_Q1,120,78,7,35,0,0,0,0,0,0,28,0,37,0
board,AR,Eastern,PY23_Q2,106,66,5,35,0,0,0,0,0,0,19,0,30,0
board,AR,Eastern,PY23_Q3,101,46,8,47,0,0,0,0,0,0,12,0,22,0
board,AR,Eastern,PY23_Q4,107,39,5,63,0,0,0,0,0,0,11,0,17,0
board,AR,North Central,PY20_Q1,184,88,4,92,0,0,0,0,0,0,137,0,117,0
board,AR,North Central,PY20_Q2,188,90,8,90,0,0,0,0,0,0,137,0,118,0
board,AR,North Central,PY20_Q3,168,82,8,78,0,0,0,0,0,0,109,0,103,0
board,AR,North Central,PY20_Q4,170,79,10,80,0,0,0,0,3,0,102,0,102,0
board,AR,North Central,PY21_Q1,175,88,10,77,0,0,0,0,6,0,117,0,126,0
board,AR,North Central,PY21_Q2,186,89,14,83,0,0,0,0,6,0,121,0,129,0
board,AR,North Central,PY21_Q3,195,87,9,99,0,0,0,0,2,0,110,0,138,0
board,AR,North Central,PY21_Q4,237,109,8,120,0,0,0,0,4,0,112,0,167,0
board,AR,North Central,PY22_Q1,215,119,5,92,0,0,0,0,4,0,59,0,165,0
board,AR,North Central,PY22_Q2,186,100,3,84,0,0,0,0,3,0,52,0,143,0
board,AR,North Central,PY22_Q3,172,100,4,69,0,0,0,0,3,0,52,0,132,0
board,AR,North Central,PY22_Q4,202,104,5,94,0,0,0,0,3,0,53,0,137,0
