fy,abbr,state,County,County 2,"County, State",Local Board,type,count,aveWage,MedianWageByCounty
FY 2021,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Active Apprentices,1471,16.23,14.17
FY 2022,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Active Apprentices,1528,17.01,15.00
FY 2023,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Active Apprentices,1545,17.81,17.00
FY 2024,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Active Apprentices,1663,18.40,17.00
FY 2025,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Active Apprentices,1893,19.49,18.00
FY 2026,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Active Apprentices,1836,19.57,18.00
FY 2020,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Active Apprentices,13322,15.52,14.00
FY 2021,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Active Apprentices,12559,15.79,14.25
FY 2022,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Active Apprentices,12981,16.70,15.41
FY 2023,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Active Apprentices,14491,18.28,16.33
FY 2024,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Active Apprentices,17834,19.72,17.91
FY 2025,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Active Apprentices,20391,20.56,19.25
FY 2026,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Active Apprentices,20511,20.59,19.25
FY 2020,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Active Apprentices,11495,14.93,14.42
FY 2021,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Active Apprentices,12617,15.04,15.00
FY 2022,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Active Apprentices,12171,14.80,15.50
FY 2023,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Active Apprentices,10538,15.79,16.00
FY 2024,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Active Apprentices,8701,17.65,18.09
FY 2025,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Active Apprentices,10544,18.80,18.95
FY 2026,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Active Apprentices,11788,19.15,19.00
FY 2020,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Active Apprentices,7174,18.07,25.63
FY 2021,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Active Apprentices,7272,18.32,26.27
FY 2022,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Active Apprentices,6492,18.61,26.43
FY 2023,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Active Apprentices,5989,19.30,36.59
FY 2024,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Active Apprentices,6020,20.14,37.16
FY 2025,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Active Apprentices,6080,20.74,38.33
FY 2026,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Active Apprentices,5887,21.09,38.60
FY 2020,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Active Apprentices,2665,16.52,16.00
FY 2021,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Active Apprentices,2680,16.62,15.71
FY 2022,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Active Apprentices,2904,17.21,15.00
FY 2023,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Active Apprentices,3387,17.47,15.00
FY 2024,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Active Apprentices,3516,18.28,15.62
FY 2025,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Active Apprentices,3897,20.00,16.55
FY 2026,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Active Apprentices,4348,20.96,16.55
FY 2020,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,Active Apprentices,17475,20.61,17.45
FY 2021,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,Active Apprentices,17498,20.87,17.50
FY 2022,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,Active Apprentices,19310,21.14,17.90
FY 2023,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,Active Apprentices,20579,21.76,17.77
FY 2024,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,Active Apprentices,21900,22.39,17.88
FY 2025,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,Active Apprentices,23904,23.11,18.56
FY 2026,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,Active Apprentices,23888,23.19,18.50
FY 2020,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Active Apprentices,19278,15.73,17.32
FY 2021,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Active Apprentices,21346,15.88,17.34
FY 2022,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Active Apprentices,22663,16.50,18.00
