fy,abbr,state,County,County 2,"County, State",Local Board,type,count,aveWage,MedianWageByCounty
FY 2021,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Active Apprentices,10470,25.54,23.92
FY 2022,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Active Apprentices,10636,25.38,24.61
FY 2023,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Active Apprentices,10489,25.22,22.78
FY 2024,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Active Apprentices,10389,25.60,23.33
FY 2025,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Active Apprentices,9777,25.33,23.89
FY 2026,OR,Oregon,* State Total,* State Total,"* State Total, OR",State,Active Apprentices,9542,25.30,23.89
FY 2020,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Active Apprentices,17466,17.82,15.09
FY 2021,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Active Apprentices,17592,17.96,15.64
FY 2022,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Active Apprentices,17237,18.47,16.50
FY 2023,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Active Apprentices,17241,19.10,17.64
FY 2024,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Active Apprentices,16340,20.14,17.51
FY 2025,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Active Apprentices,16443,21.00,18.05
FY 2026,PA,Pennsylvania,* State Total,* State Total,"* State Total, PA",State,Active Apprentices,16607,21.12,18.00
FY 2020,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Active Apprentices,2035,16.35,15.00
FY 2021,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Active Apprentices,2154,17.00,16.00
FY 2022,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Active Apprentices,2158,18.04,17.00
FY 2023,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Active Apprentices,2159,19.11,18.00
FY 2024,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Active Apprentices,2251,20.45,19.26
FY 2025,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Active Apprentices,2292,21.42,20.00
FY 2026,RI,Rhode Island,* State Total,* State Total,"* State Total, RI",State,Active Apprentices,2291,21.74,20.59
FY 2020,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Active Apprentices,12817,14.43,14.32
FY 2021,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Active Apprentices,6806,16.60,15.50
FY 2022,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Active Apprentices,7502,16.62,15.09
FY 2023,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Active Apprentices,6106,18.14,16.30
FY 2024,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Active Apprentices,7013,19.44,16.62
FY 2025,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Active Apprentices,7585,19.95,16.40
FY 2026,SC,South Carolina,* State Total,* State Total,"* State Total, SC",State,Active Apprentices,7360,20.43,16.48
FY 2020,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Active Apprentices,644,16.75,15.00
FY 2021,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Active Apprentices,756,16.82,16.17
FY 2022,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Active Apprentices,903,17.99,17.05
FY 2023,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Active Apprentices,1266,18.92,16.59
FY 2024,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Active Apprentices,1431,19.09,16.59
FY 2025,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Active Apprentices,1673,20.20,16.91
FY 2026,SD,South Dakota,* State Total,* State Total,"* State Total, SD",State,Active Apprentices,1595,20.95,18.44
FY 2020,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Active Apprentices,5957,15.32,14.06
FY 2021,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Active Apprentices,6648,15.32,13.80
FY 2022,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Active Apprentices,7221,16.36,15.00
FY 2023,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Active Apprentices,11007,17.45,16.50
FY 2024,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Active Apprentices,11244,17.82,17.66
FY 2025,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Active Apprentices,11244,18.36,18.00
FY 2026,TN,Tennessee,* State Total,* State Total,"* State Total, TN",State,Active Apprentices,11142,18.72,18.00
FY 2020,TX,Texas,* State Total,* State Total,"* State Total, TX",State,Active Apprentices,20258,15.94,15.17
FY 2021,TX,Texas,* State Total,* State Total,"* State Total, TX",State,Active Apprentices,23432,16.10,15.80
FY 2022,TX,Texas,* State Total,* State Total,"* State Total, TX",State,Active Apprentices,25270,16.92,16.19
FY 2023,TX,Texas,* State Total,* State Total,"* State Total, TX",State,Active Apprentices,31233,18.04,17.00
FY 2024,TX,Texas,* State Total,* State Total,"* State Total, TX",State,Active Apprentices,36880,18.57,17.62
FY 2025,TX,Texas,* State Total,* State Total,"* State Total, TX",State,Active Apprentices,40907,18.70,18.00
FY 2026,TX,Texas,* State Total,* State Total,"* State Total, TX",State,Active Apprentices,42528,19.11,18.00
FY 2020,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Active Apprentices,3916,19.50,17.00
FY 2021,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Active Apprentices,4211,20.09,19.00
FY 2022,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Active Apprentices,4214,20.95,18.50
FY 2023,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Active Apprentices,4362,22.01,18.00
FY 2024,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Active Apprentices,4833,23.30,19.00
FY 2025,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Active Apprentices,4938,24.65,20.68
FY 2026,UT,Utah,* State Total,* State Total,"* State Total, UT",State,Active Apprentices,5038,24.57,21.50
FY 2020,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Active Apprentices,1663,16.61,15.00
FY 2021,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Active Apprentices,358,17.25,15.50
FY 2022,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Active Apprentices,93,18.29,17.63
FY 2023,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Active Apprentices,1314,18.80,18.25
FY 2024,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Active Apprentices,1632,19.33,20.00
FY 2025,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Active Apprentices,1641,19.86,20.00
FY 2026,VT,Vermont,* State Total,* State Total,"* State Total, VT",State,Active Apprentices,1663,20.24,20.50
FY 2020,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Active Apprentices,10127,13.66,11.88
FY 2021,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Active Apprentices,10835,14.13,12.00
FY 2022,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Active Apprentices,11482,14.99,12.50
FY 2023,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Active Apprentices,11081,16.14,14.28
FY 2024,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Active Apprentices,11842,16.75,15.00
FY 2025,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Active Apprentices,12736,17.30,15.33
FY 2026,VA,Virginia,* State Total,* State Total,"* State Total, VA",State,Active Apprentices,12022,17.78,16.00
FY 2020,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Active Apprentices,16711,21.31,25.15
FY 2021,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Active Apprentices,18070,22.27,24.53
FY 2022,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Active Apprentices,18329,23.59,24.84
FY 2023,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Active Apprentices,19653,23.71,23.56
FY 2024,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Active Apprentices,22450,24.41,25.38
FY 2025,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Active Apprentices,22710,25.28,26.36
FY 2026,WA,Washington,* State Total,* State Total,"* State Total, WA",State,Active Apprentices,22674,25.46,25.65
FY 2020,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Active Apprentices,4527,14.04,14.50
FY 2021,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Active Apprentices,5301,14.65,14.50
FY 2022,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Active Apprentices,5603,15.09,15.35
FY 2023,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Active Apprentices,5325,15.26,15.74
FY 2024,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Active Apprentices,4069,16.88,16.72
FY 2025,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Active Apprentices,4038,17.72,17.83
FY 2026,WV,West Virginia,* State Total,* State Total,"* State Total, WV",State,Active Apprentices,3832,18.33,17.62
FY 2020,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Active Apprentices,10918,17.90,16.61
FY 2021,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Active Apprentices,11644,17.92,18.60
FY 2022,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Active Apprentices,11983,19.31,19.19
FY 2023,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Active Apprentices,13049,20.52,20.06
FY 2024,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Active Apprentices,14053,21.45,20.12
FY 2025,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Active Apprentices,14916,22.35,21.00
FY 2026,WI,Wisconsin,* State Total,* State Total,"* State Total, WI",State,Active Apprentices,14893,22.50,21.00
FY 2020,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Active Apprentices,446,17.55,20.00
FY 2021,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Active Apprentices,398,17.87,18.00
FY 2022,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Active Apprentices,391,18.59,18.25
FY 2023,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Active Apprentices,417,20.13,23.11
FY 2024,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Active Apprentices,499,21.93,21.53
FY 2025,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Active Apprentices,606,24.53,23.84
FY 2026,WY,Wyoming,* State Total,* State Total,"* State Total, WY",State,Active Apprentices,647,24.17,23.66
FY 2020,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Active Apprentices,185,10.48,7.62
FY 2021,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Active Apprentices,413,10.70,8.87
FY 2022,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Active Apprentices,775,14.59,10.00
FY 2023,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Active Apprentices,998,13.75,9.50
FY 2024,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Active Apprentices,1117,14.06,10.57
FY 2025,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Active Apprentices,1913,15.77,11.18
FY 2026,PR,Puerto Rico,* State Total,* State Total,"* State Total, PR",State,Active Apprentices,2403,15.94,11.75
FY 2020,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Active Apprentices,504,13.51,13.37
FY 2021,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Active Apprentices,542,13.79,14.00
FY 2022,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Active Apprentices,559,13.85,13.50
FY 2023,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Active Apprentices,605,13.78,13.88
FY 2024,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Active Apprentices,697,14.16,14.01
FY 2025,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Active Apprentices,830,14.51,14.01
FY 2026,GU,Guam,* State Total,* State Total,"* State Total, GU",State,Active Apprentices,866,14.46,14.01
FY 2020,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Completer Apprentices,469,24.84,24.58
FY 2021,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Completer Apprentices,437,26.46,25.00
FY 2022,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Completer Apprentices,510,25.34,23.70
FY 2023,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Completer Apprentices,581,28.25,24.00
FY 2024,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Completer Apprentices,742,27.06,25.00
FY 2025,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Completer Apprentices,852,27.18,25.40
FY 2026,AL,Alabama,* State Total,* State Total,"* State Total, AL",State,Completer Apprentices,373,28.13,25.50
FY 2020,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Completer Apprentices,314,33.27,36.00
FY 2021,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Completer Apprentices,251,35.51,20.78
FY 2022,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Completer Apprentices,288,34.45,28.57
FY 2023,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Completer Apprentices,331,34.69,35.94
FY 2024,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Completer Apprentices,358,37.21,35.00
FY 2025,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Completer Apprentices,451,38.25,37.12
FY 2026,AK,Alaska,* State Total,* State Total,"* State Total, AK",State,Completer Apprentices,148,43.44,40.80
FY 2020,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Completer Apprentices,596,27.20,25.63
FY 2021,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Completer Apprentices,799,29.40,28.25
FY 2022,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Completer Apprentices,947,31.92,31.92
FY 2023,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Completer Apprentices,1012,32.48,33.41
FY 2024,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Completer Apprentices,1102,32.52,31.34
FY 2025,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Completer Apprentices,1169,34.10,29.50
FY 2026,AZ,Arizona,* State Total,* State Total,"* State Total, AZ",State,Completer Apprentices,464,34.65,29.55
FY 2020,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Completer Apprentices,483,20.51,20.00
FY 2021,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Completer Apprentices,728,21.68,19.76
FY 2022,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Completer Apprentices,734,23.38,20.00
FY 2023,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Completer Apprentices,878,23.63,22.00
FY 2024,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Completer Apprentices,801,25.17,22.00
FY 2025,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Completer Apprentices,1742,29.71,23.00
FY 2026,AR,Arkansas,* State Total,* State Total,"* State Total, AR",State,Completer Apprentices,604,24.30,23.87
FY 2020,CA,California,* State Total,* State Total,"* State Total, CA",State,Completer Apprentices,12238,36.05,38.21
FY 2021,CA,California,* State Total,* State Total,"* State Total, CA",State,Completer Apprentices,14049,37.33,37.77
FY 2022,CA,California,* State Total,* State Total,"* State Total, CA",State,Completer Apprentices,13917,38.12,40.08
FY 2023,CA,California,* State Total,* State Total,"* State Total, CA",State,Completer Apprentices,15273,39.24,37.61
FY 2024,CA,California,* State Total,* State Total,"* State Total, CA",State,Completer Apprentices,16295,39.11,42.91
FY 2025,CA,California,* State Total,* State Total,"* State Total, CA",State,Completer Apprentices,16024,39.95,40.80
FY 2026,CA,California,* State Total,* State Total,"* State Total, CA",State,Completer Apprentices,5149,43.87,40.41
FY 2020,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,Completer Apprentices,926,30.43,37.04
FY 2021,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,Completer Apprentices,967,30.89,30.48
FY 2022,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,Completer Apprentices,1051,32.43,32.00
FY 2023,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,Completer Apprentices,1020,32.91,38.50
FY 2024,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,Completer Apprentices,1043,34.07,33.94
FY 2025,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,Completer Apprentices,1197,33.62,37.00
FY 2026,CO,Colorado,* State Total,* State Total,"* State Total, CO",State,Completer Apprentices,500,32.75,35.10
FY 2020,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,Completer Apprentices,1468,29.04,22.00
FY 2021,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,Completer Apprentices,1729,28.25,22.00
FY 2022,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,Completer Apprentices,1568,27.80,22.25
FY 2023,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,Completer Apprentices,1646,27.15,22.00
FY 2024,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,Completer Apprentices,1675,28.31,22.00
FY 2025,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,Completer Apprentices,908,27.59,23.00
FY 2026,CT,Connecticut,* State Total,* State Total,"* State Total, CT",State,Completer Apprentices,73,35.01,41.73
FY 2020,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Completer Apprentices,60,27.64,22.94
FY 2021,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Completer Apprentices,173,26.24,20.00
FY 2022,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Completer Apprentices,228,28.42,22.97
FY 2023,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Completer Apprentices,245,28.82,23.00
FY 2024,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Completer Apprentices,189,29.84,27.00
FY 2025,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Completer Apprentices,247,32.31,26.00
FY 2026,DE,Delaware,* State Total,* State Total,"* State Total, DE",State,Completer Apprentices,97,27.60,26.50
FY 2020,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Completer Apprentices,1912,23.14,20.26
FY 2021,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Completer Apprentices,1894,23.88,20.21
FY 2022,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Completer Apprentices,2100,24.93,22.18
FY 2023,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Completer Apprentices,2213,26.90,24.05
FY 2024,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Completer Apprentices,2378,27.38,22.85
FY 2025,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Completer Apprentices,3450,29.63,26.50
FY 2026,FL,Florida,* State Total,* State Total,"* State Total, FL",State,Completer Apprentices,1173,31.58,28.19
FY 2020,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Completer Apprentices,1423,22.08,25.41
FY 2021,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Completer Apprentices,1419,22.74,25.70
FY 2022,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Completer Apprentices,1695,26.94,26.50
FY 2023,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Completer Apprentices,1188,28.01,25.64
FY 2024,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Completer Apprentices,1340,28.11,26.20
FY 2025,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Completer Apprentices,1592,28.34,25.00
FY 2026,GA,Georgia,* State Total,* State Total,"* State Total, GA",State,Completer Apprentices,368,30.79,28.00
FY 2020,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Completer Apprentices,722,38.52,42.70
FY 2021,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Completer Apprentices,797,40.11,48.64
FY 2022,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Completer Apprentices,765,41.86,48.36
FY 2023,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Completer Apprentices,941,39.77,40.00
FY 2024,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Completer Apprentices,620,46.56,48.95
FY 2025,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Completer Apprentices,633,48.06,58.82
FY 2026,HI,Hawaii,* State Total,* State Total,"* State Total, HI",State,Completer Apprentices,249,47.39,40.25
FY 2020,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Completer Apprentices,469,23.40,24.00
FY 2021,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Completer Apprentices,420,26.29,27.63
FY 2022,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Completer Apprentices,611,25.32,23.50
FY 2023,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Completer Apprentices,597,26.06,23.00
FY 2024,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Completer Apprentices,865,26.11,25.19
FY 2025,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Completer Apprentices,874,28.67,23.50
FY 2026,ID,Idaho,* State Total,* State Total,"* State Total, ID",State,Completer Apprentices,317,29.75,28.00
FY 2020,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,Completer Apprentices,2787,41.83,35.97
FY 2021,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,Completer Apprentices,3354,42.62,38.75
FY 2022,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,Completer Apprentices,3344,44.13,36.83
FY 2023,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,Completer Apprentices,3744,44.68,36.33
FY 2024,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,Completer Apprentices,3944,43.89,36.91
FY 2025,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,Completer Apprentices,3923,43.58,36.17
FY 2026,IL,Illinois,* State Total,* State Total,"* State Total, IL",State,Completer Apprentices,1689,45.13,37.00
FY 2020,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Completer Apprentices,3201,27.71,28.59
FY 2021,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Completer Apprentices,3059,28.27,27.12
FY 2022,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Completer Apprentices,2973,29.42,30.00
FY 2023,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Completer Apprentices,3032,29.81,30.48
FY 2024,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Completer Apprentices,2654,31.88,34.59
FY 2025,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Completer Apprentices,3387,31.53,32.00
FY 2026,IN,Indiana,* State Total,* State Total,"* State Total, IN",State,Completer Apprentices,1158,31.86,33.47
FY 2020,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Completer Apprentices,1463,29.47,22.00
FY 2021,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Completer Apprentices,1543,27.64,20.00
FY 2022,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Completer Apprentices,1746,29.69,22.25
FY 2023,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Completer Apprentices,1925,30.43,23.00
FY 2024,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Completer Apprentices,1986,29.58,22.38
FY 2025,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Completer Apprentices,2283,30.03,25.00
FY 2026,IA,Iowa,* State Total,* State Total,"* State Total, IA",State,Completer Apprentices,971,31.74,25.69
FY 2020,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Completer Apprentices,307,29.02,25.00
FY 2021,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Completer Apprentices,305,28.99,28.24
FY 2022,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Completer Apprentices,369,28.81,30.00
FY 2023,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Completer Apprentices,412,31.70,31.72
FY 2024,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Completer Apprentices,433,30.91,31.95
FY 2025,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Completer Apprentices,515,29.80,30.32
FY 2026,KS,Kansas,* State Total,* State Total,"* State Total, KS",State,Completer Apprentices,275,30.61,26.75
FY 2020,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,Completer Apprentices,774,27.93,26.00
FY 2021,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,Completer Apprentices,764,28.83,27.24
FY 2022,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,Completer Apprentices,844,30.07,24.25
FY 2023,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,Completer Apprentices,1059,29.48,25.00
FY 2024,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,Completer Apprentices,969,31.16,28.26
FY 2025,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,Completer Apprentices,1224,31.40,27.13
FY 2026,KY,Kentucky,* State Total,* State Total,"* State Total, KY",State,Completer Apprentices,335,35.17,27.00
FY 2020,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Completer Apprentices,424,27.46,23.97
FY 2021,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Completer Apprentices,376,22.40,23.07
FY 2022,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Completer Apprentices,398,21.91,25.25
FY 2023,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Completer Apprentices,487,25.29,25.25
FY 2024,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Completer Apprentices,609,32.12,28.98
FY 2025,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Completer Apprentices,442,23.19,25.05
FY 2026,LA,Louisiana,* State Total,* State Total,"* State Total, LA",State,Completer Apprentices,111,21.74,24.70
FY 2020,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Completer Apprentices,146,22.07,22.16
FY 2021,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Completer Apprentices,145,24.49,21.01
FY 2022,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Completer Apprentices,153,27.72,27.66
FY 2023,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Completer Apprentices,201,27.88,30.00
FY 2024,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Completer Apprentices,273,28.72,24.00
FY 2025,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Completer Apprentices,276,27.05,22.00
FY 2026,ME,Maine,* State Total,* State Total,"* State Total, ME",State,Completer Apprentices,148,27.23,27.63
FY 2020,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,Completer Apprentices,2306,33.24,25.58
FY 2021,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,Completer Apprentices,2683,33.29,24.26
FY 2022,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,Completer Apprentices,3453,35.97,26.00
FY 2023,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,Completer Apprentices,3310,36.47,28.25
FY 2024,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,Completer Apprentices,3296,38.17,26.73
FY 2025,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,Completer Apprentices,1823,38.69,25.00
FY 2026,MD,Maryland,* State Total,* State Total,"* State Total, MD",State,Completer Apprentices,471,34.95,35.91
FY 2020,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Completer Apprentices,1804,36.53,31.00
FY 2021,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Completer Apprentices,1417,37.13,31.30
FY 2022,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Completer Apprentices,1662,38.12,32.34
FY 2023,MA,Massachusetts,* State Total,* State Total,"* State Total, MA",State,Completer Apprentices,1908,35.19,24.12
